AA11,AA12,a,b,bs,city,cp,e,el,es,f,fi,g,id,j,k,l,lat,lon,m,p,pimg,r,s,sq,t,tp,type,v,district_code
其他,,中山路301~330號,透天厝,,B,,11003,無,,全/三層,,21,0,4,1,0,24.144401151551214,120.67537999092745,無,"295,838",bt_02.png,14,115.94,NH3htS5v001G6Fqjw9ga/QYD8mnVTNVmiOVgMgB3gFk=,房地(土地+建物),"3,430",Biz,20房1廳20衛有隔間,B01
其他,,臺灣大道一段241~270號,華廈(10層含以下有電梯),70.96%,B,,11003,有,,五層/七層,,35,1,1,1,0,24.141434057757973,120.68100505155891,有,"167,607",bt_06.png,32,11.87,moHKA2qHjkAQ1HRJFALZlQYD8mnVTNVmiOVgMgB3gFk=,房地(土地+建物),199,Biz,1房0廳1衛有隔間,B01
其他,,臺灣大道一段306巷31~60號,華廈(10層含以下有電梯),63.85%,B,,11003,有,,四層/七層,,28,2,1,2,0,24.142373214991153,120.68062783328763,有,"145,931",bt_06.png,34,24.87,g7eiQq8ByzWO2d7t1yd1CQYD8mnVTNVmiOVgMgB3gFk=,房地(土地+建物),363,Biz,1房1廳1衛有隔間,B01
其他,,公園路31~60號,住宅大樓(11層含以上有電梯),66.50%,B,,11003,有,,七層/十一層,,39,3,2,1,0,24.146269728560288,120.68036625084484,有,"101,990",bt_05.png,45,14.71,49unSCKXin7Dbw4HFkmu1AYD8mnVTNVmiOVgMgB3gFk=,房地(土地+建物),150,Biz,1房0廳1衛有隔間,B01
其他,,臺灣大道一段241~270號,住宅大樓(11層含以上有電梯),72.28%,B,,11003,有,,九層/十一層,,27,4,1,2,0,24.140952132253176,120.6809014570842,無,"137,970",bt_05.png,17,68.86,VLHn8sKLXb7n8v/e0wyV9QYD8mnVTNVmiOVgMgB3gFk=,房地(土地+建物),950,Biz,2房1廳2衛有隔間,B01
其他,,成功路1~30號,住宅大樓(11層含以上有電梯),64.34%,B,,11003,有,,七層/十二層,,31,5,1,1,0,24.138402725074044,120.68592089382813,有,"133,111",bt_05.png,25,18.63,WsrT0vB/c7DGWNVt6BxL8wYD8mnVTNVmiOVgMgB3gFk=,房地(土地+建物),248,Biz,,B01
其他,,臺灣大道一段361~390號,住宅大樓(11層含以上有電梯),70.03%,B,,11003,有,,五層/十二層,,39,6,5,1,0,24.143211991287846,120.67931510955493,有,"191,802",bt_05.png,23,8.86,qPH+kOl6CMuGEs/PPt4mtgYD8mnVTNVmiOVgMgB3gFk=,房地(土地+建物),170,Biz,1房0廳1衛有隔間,B01
其他,,臺灣大道一段241~270號,華廈(10層含以下有電梯),68.08%,B,,11003,有,,五層/七層,,35,7,1,1,0,24.141434057757973,120.68100505155891,有,"168,883",bt_06.png,32,10.72,Ds6DY8AcX5X4grucrh4T7AYD8mnVTNVmiOVgMgB3gFk=,房地(土地+建物),181,Biz,1房0廳1衛有隔間,B01
其他,,成功路306巷1~30號,住宅大樓(11層含以上有電梯),86.39%,B,,11002,有,,十層/十六層,,27,8,1,1,0,24.144794860008435,120.67889395474494,有,"115,160",bt_05.png,37,14.76,U3RY7PZOFHdA4ZE5+1zcZgYD8mnVTNVmiOVgMgB3gFk=,房地(土地+建物),170,Biz,1房1廳1衛有隔間,B01
其他,,仁愛街1~30號,住宅大樓(11層含以上有電梯),,B,,11002,有,,六層/十二層,,5,9,1,1,1,24.14280107176926,120.67542555489631,有,"260,046",bt_05.png,39,49.99,773cFS9k3pefcuAS3RWZnAYD8mnVTNVmiOVgMgB3gFk=,房地(土地+建物)+車位,"1,300",Biz,3房2廳2衛有隔間,B01
其他,,大誠街1~30號,住宅大樓(11層含以上有電梯),68.88%,B,,11002,有,,八層/十二層,,26,10,1,1,0,24.144659392173683,120.67824339384363,有,"158,417",bt_05.png,15,10.98,PO9hTPkvdjzrCX057VOekgYD8mnVTNVmiOVgMgB3gFk=,房地(土地+建物),174,Biz,1房0廳1衛有隔間,B01
其他,,中華路一段91~120號,華廈(10層含以下有電梯),79.80%,B,,11002,有,,十層/十層,,27,11,2,2,0,24.1451598182648,120.67683751173175,有,"188,225",bt_06.png,10,14.34,WBEJB1NB6uYurjEAOM5TqgYD8mnVTNVmiOVgMgB3gFk=,房地(土地+建物),270,Biz,1房0廳1衛有隔間,B01
其他,,繼光街1~30號,透天厝,,B,,11002,無,,全/二層,,,12,3,1,0,24.13756949128088,120.68099496167616,無,"563,359",bt_02.png,10,35.50,sNJ31GmSpblG8aBEaLX9SwYD8mnVTNVmiOVgMgB3gFk=,房地(土地+建物),"2,000",Biz,6房2廳3衛有隔間,B01
其他,,民權路151~180號,住宅大樓(11層含以上有電梯),59.32%,B,,11002,有,,二十三層/二十八層,,24,13,2,1,0,24.14114050558799,120.67687861057392,有,"165,332",bt_05.png,59,11.31,jqpxXpCfOF5gkZDAZ4NaJAYD8mnVTNVmiOVgMgB3gFk=,房地(土地+建物),187,Biz,1房0廳1衛有隔間,B01
其他,,成功路306巷1~30號,住宅大樓(11層含以上有電梯),67.97%,B,,11002,有,,十三層/十六層,,27,14,1,1,0,24.144794860008435,120.67889395474494,有,"44,955",bt_05.png,37,13.35,v+QM31PnRU/nEEw4KTK95gYD8mnVTNVmiOVgMgB3gFk=,房地(土地+建物),60,Biz,1房0廳1衛有隔間,B01
其他,,民權路14巷1~30號,公寓(5樓含以下無電梯),88.29%,B,,11002,無,,一層/五層,,38,15,4,2,0,24.13656926883188,120.68240542280448,無,"385,481",bt_01.png,24,26.72,NpAToXca1XHmKhgaQXb9XQYD8mnVTNVmiOVgMgB3gFk=,房地(土地+建物),"1,030",Biz,,B01
其他,,中華路一段121~150號,住宅大樓(11層含以上有電梯),54.74%,B,,11002,有,,十層/十九層,,25,16,1,1,0,24.144879838591994,120.67574354199311,有,"220,321",bt_05.png,39,10.21,sjzQb/mhWvYet4hAyp86+gYD8mnVTNVmiOVgMgB3gFk=,房地(土地+建物),225,Biz,2房1廳1衛有隔間,B01
其他,,臺灣大道一段361~390號,住宅大樓(11層含以上有電梯),70.03%,B,,11002,有,,五層/十二層,,39,17,5,1,0,24.143211991287846,120.67931510955493,有,"197,445",bt_05.png,23,8.86,ak+ayu+0eDE9lbNM39mMrwYD8mnVTNVmiOVgMgB3gFk=,房地(土地+建物),175,Biz,1房0廳1衛有隔間,B01
其他,,民族路181~210號,華廈(10層含以下有電梯),50.34%,B,,11002,有,,四層/八層,,39,18,2,1,0,24.14251296111966,120.67602698883003,有,"133,117",bt_06.png,19,6.76,oHdCSfWfNeKmdACwtUjIzQYD8mnVTNVmiOVgMgB3gFk=,房地(土地+建物),90,Biz,1房0廳1衛有隔間,B01
其他,,民權路1~30號,住宅大樓(11層含以上有電梯),57.54%,B,,11002,有,,十層/十二層,,24,19,1,1,0,24.136211747186454,120.6822050961822,有,"141,058",bt_05.png,17,8.79,VKnCGRG+Lw4cRnoGARLXtQYD8mnVTNVmiOVgMgB3gFk=,房地(土地+建物),124,Biz,1房0廳1衛有隔間,B01
