AA11,AA12,a,b,bs,city,cp,e,el,es,f,fi,g,id,j,k,l,lat,lon,m,p,pimg,r,s,sq,t,tp,type,v,district_code
其他,,練武路1~30號,透天厝,,B,,11003,無,,全/四層,,,0,1,1,0,24.14345123534792,120.68668638470662,無,"248,387",bt_02.png,10,58.38,vY2s23oDQaqHpcTYlCTDAmSIQmZA7b/HAZngonSjp7s=,房地(土地+建物),"1,450",Biz,8房3廳4衛有隔間,B02
其他,,進化路271~300號,住宅大樓(11層含以上有電梯),56.18%,B,,11003,有,,十二層/十六層,,22,1,1,1,0,24.152077424891967,120.69517280589046,有,"167,656",bt_05.png,81,43.54,dP74nzzgBK/2VNgKy7XZSWSIQmZA7b/HAZngonSjp7s=,房地(土地+建物),730,Biz,3房2廳2衛有隔間,B02
其他,,旱溪東路一段31~60號,透天厝,,B,,11003,無,,全/二層,,32,2,3,1,0,24.127822842466188,120.70208487068464,無,"92,661",bt_02.png,12,41.01,FZkX/xEVejvlgHcINa3A1mSIQmZA7b/HAZngonSjp7s=,房地(土地+建物),380,Biz,3房2廳2衛有隔間,B02
其他,,一心街241~270號,華廈(10層含以下有電梯),53.72%,B,,11003,有,61.88%,八層/十層,,8,3,1,1,1,24.134353232620434,120.70176168569233,有,"205,425",bt_06.png,71,25.80,xdUu3IHEeVxU88yY4uEUP2SIQmZA7b/HAZngonSjp7s=,房地(土地+建物)+車位,530,Biz,2房2廳1衛有隔間,B02
其他,,東福路91~120號,住宅大樓(11層含以上有電梯),,B,,11002,有,,六層/十四層,,4,4,1,1,1,24.127613268869606,120.6992281696401,有,"208,737",bt_05.png,65,51.16,rgxiw8KfJ1qs0U5BoOz0v2SIQmZA7b/HAZngonSjp7s=,房地(土地+建物)+車位,"1,068",Biz,3房2廳2衛有隔間,B02
其他,,大勇街61~90號,華廈(10層含以下有電梯),,B,,11002,有,,五層/八層,,26,5,1,1,1,24.134106016792657,120.68763598596894,有,"165,583",bt_06.png,26,16.91,pVM8Q4AwdU1LWMBYgQ8QG2SIQmZA7b/HAZngonSjp7s=,房地(土地+建物)+車位,280,Biz,1房0廳1衛有隔間,B02
其他,,建功街61~90號,華廈(10層含以下有電梯),67.03%,B,,11002,有,,七層/七層,,30,6,1,1,1,24.13036588071166,120.69198588713218,有,"132,122",bt_06.png,30,40.11,3GzFKeT2Rk1KJwZ+dZfIeGSIQmZA7b/HAZngonSjp7s=,房地(土地+建物)+車位,530,Biz,3房2廳2衛有隔間,B02
其他,,東英十街31~60號,華廈(10層含以下有電梯),64.94%,B,,11002,有,,一層/七層,,31,7,1,1,1,24.143049467871858,120.70506337538504,有,"175,798",bt_06.png,29,37.54,Ku9SATCQLk+tZ3w/ZaU3nmSIQmZA7b/HAZngonSjp7s=,房地(土地+建物)+車位,660,Biz,1房1廳1衛有隔間,B02
其他,,台中路391~420號,透天厝,,B,,11002,無,,全/四層,,22,8,1,1,0,24.12233760259304,120.68475938740112,無,"237,580",bt_02.png,8,59.98,0MQDVXdSgzX+Dzv9pE/vWGSIQmZA7b/HAZngonSjp7s=,房地(土地+建物),"1,425",Biz,7房0廳7衛有隔間,B02
其他,,進化路271~300號,住宅大樓(11層含以上有電梯),56.18%,B,,11002,有,,十五層/十六層,,22,9,1,1,0,24.152077424891967,120.69517280589046,有,"166,737",bt_05.png,81,43.54,tvGwvxMA6c40bne2GDq5CGSIQmZA7b/HAZngonSjp7s=,房地(土地+建物),726,Biz,3房2廳2衛有隔間,B02
其他,,十甲路421~450號,住宅大樓(11層含以上有電梯),70.47%,B,,11002,有,,六層/十二層,,27,10,1,1,0,24.1445625900591,120.70872226143389,有,"177,517",bt_05.png,32,20.28,ZN+ejwbIfrCFLu7FPWq95GSIQmZA7b/HAZngonSjp7s=,房地(土地+建物),360,Biz,2房1廳1衛有隔間,B02
其他,,東光園路331~360號,透天厝,,B,,11002,無,,全/四層,,16,11,3,1,1,24.132399923052674,120.6977268867332,有,"273,111",bt_02.png,29,53.75,rY0R7V1AK+Ui/JYWcFqzPmSIQmZA7b/HAZngonSjp7s=,房地(土地+建物)+車位,"1,468",Biz,5房3廳4衛有隔間,B02
其他,,公園東路91~120號,住宅大樓(11層含以上有電梯),46.81%,B,"1,100,000",11002,有,63.31%,八層/十五層,,,12,1,1,1,24.141610109966347,120.68820861809992,有,"315,679",bt_05.png,56,37.49,oovk9XlD7HKxseYlxj6ZH2SIQmZA7b/HAZngonSjp7s=,房地(土地+建物)+車位,985,Biz,2房1廳1衛有隔間,B02
其他,,十甲路391~420號,住宅大樓(11層含以上有電梯),77.73%,B,,11002,有,,二層/十三層,,27,13,1,1,0,24.14455430480537,120.70816928579201,有,"164,162",bt_05.png,44,26.19,3J1MYGAxisZXXdL3g3TPs2SIQmZA7b/HAZngonSjp7s=,房地(土地+建物),430,Biz,3房2廳2衛有隔間,B02
其他,,進化路181~210號,公寓(5樓含以下無電梯),82.52%,B,,11002,無,,三層/五層,,37,14,1,1,0,24.148343460557157,120.6939641551847,無,"158,182",bt_01.png,14,41.72,kwd6/vfY+3zL0CzTghZFC2SIQmZA7b/HAZngonSjp7s=,房地(土地+建物),660,Biz,4房2廳2衛有隔間,B02
其他,,建德街211~240號,透天厝,,B,,11002,無,,全/三層,,49,15,2,2,0,24.1296898624858,120.69266656692979,無,"275,253",bt_02.png,12,76.58,FHQoeu0KKN9UUtkGT9hO3mSIQmZA7b/HAZngonSjp7s=,房地(土地+建物),"2,108",Biz,,B02
其他,,十甲路391~420號,住宅大樓(11層含以上有電梯),72.78%,B,,11002,有,,五層/十三層,,27,16,1,1,1,24.14455430480537,120.70816928579201,有,"184,489",bt_05.png,44,35.23,WrvIrw65EBB2qXpj3ZDz12SIQmZA7b/HAZngonSjp7s=,房地(土地+建物)+車位,650,Biz,3房2廳2衛有隔間,B02
