AA11,AA12,a,b,bs,city,cp,e,el,es,f,fi,g,id,j,k,l,lat,lon,m,p,pimg,r,s,sq,t,tp,type,v,district_code
其他,,保康路31~60號,住宅大樓(11層含以上有電梯),,B,,11003,有,,三層/十一層,,5,0,2,1,1,24.242099292873345,120.72188748535024,有,"211,038",bt_05.png,62,46.44,aApiIw1kPl4dxaf8Y4FBodVdO8M0AvS5IKK7Uh0o4c0=,房地(土地+建物)+車位,980,Biz,3房2廳2衛有隔間,B09
其他,,豐東路211~240號,透天厝,,B,,11003,無,,全/四層,,11,1,3,1,0,24.251247354882686,120.73277913672486,有,"206,268",bt_02.png,60,107.13,90yJqfWAebVdjYFEsntITdVdO8M0AvS5IKK7Uh0o4c0=,房地(土地+建物),"2,209",Biz,3房2廳5衛有隔間,B09
其他,,信義街151~180號,透天厝,,B,,11003,無,,全/一層,,61,2,1,1,0,24.252978092896367,120.71866812703377,無,"517,428",bt_02.png,7,13.91,E5A20SGJxjEmFIRMV9GyetVdO8M0AvS5IKK7Uh0o4c0=,房地(土地+建物),720,Biz,2房3廳1衛有隔間,B09
其他,,瑞安街151~180號,華廈(10層含以下有電梯),,B,,11003,有,,五層/七層,,25,3,1,1,1,24.251220834345116,120.71301385160056,有,"127,858",bt_06.png,42,53.38,4bNI45ts+Gz1jgB86KmejNVdO8M0AvS5IKK7Uh0o4c0=,房地(土地+建物)+車位,682,Biz,3房2廳1衛有隔間,B09
其他,,忠孝街79巷1~30號,華廈(10層含以下有電梯),59.68%,B,,11003,有,,三層/五層,,28,4,1,1,0,24.25346743825708,120.71525073563868,有,"128,255",bt_06.png,26,12.48,TdzkGnyYkaxU1XGfBHB769VdO8M0AvS5IKK7Uh0o4c0=,房地(土地+建物),160,Biz,1房0廳1衛有隔間,B09
其他,,社皮路76巷31~60號,華廈(10層含以下有電梯),59.38%,B,,11003,有,,三層/七層,,1,5,3,1,1,24.245836832240478,120.70134478762732,有,"248,413",bt_06.png,42,26.57,M0oqEr4rObehsywcUWCds9VdO8M0AvS5IKK7Uh0o4c0=,房地(土地+建物)+車位,660,Biz,2房2廳1衛有隔間,B09
其他,,南陽路241~270號,透天厝,,B,,11003,無,,全/二層,,54,6,1,1,0,24.244828168360556,120.7275133187317,無,"379,031",bt_02.png,8,31.66,zQXF81Os/Dh0SgkuYeEErdVdO8M0AvS5IKK7Uh0o4c0=,房地(土地+建物),"1,200",Biz,,B09
其他,,三民路1~30號,住宅大樓(11層含以上有電梯),59.54%,B,,11003,有,,十四層/十四層,,17,7,1,1,0,24.254582359962207,120.72223014349157,有,"154,760",bt_05.png,49,14.86,54acBp1GcAyTYsbyRhwJItVdO8M0AvS5IKK7Uh0o4c0=,房地(土地+建物),230,Biz,1房0廳1衛有隔間,B09
其他,,向陽路31~60號,住宅大樓(11層含以上有電梯),59.31%,B,,11003,有,,十一層/十三層,,24,8,1,1,0,24.251913522327463,120.72258702179512,有,"249,078",bt_05.png,51,10.92,ilRIrU744xWE70Xlkv+39dVdO8M0AvS5IKK7Uh0o4c0=,房地(土地+建物),272,Biz,1房0廳1衛有隔間,B09
其他,,永康路213巷55弄1~30號,透天厝,,B,,11002,無,,全/五層,,1,9,4,1,0,24.23942548834805,120.72573266100673,無,"247,269",bt_02.png,16,65.52,Yvr7W/4uJFCLBjrUip50ANVdO8M0AvS5IKK7Uh0o4c0=,房地(土地+建物),"1,620",Biz,5房2廳4衛有隔間,B09
其他,,南陽路綠山巷162弄1~30號,透天厝,,B,,11002,無,,全/四層,,1,10,1,1,0,24.242397287665266,120.73871879506956,無,"278,013",bt_02.png,10,50.36,L8L24ujqVsG9PhUOAsoAE9VdO8M0AvS5IKK7Uh0o4c0=,房地(土地+建物),"1,400",Biz,3房3廳3衛有隔間,B09
其他,,圓環西路61~90號,住宅大樓(11層含以上有電梯),,B,,11002,有,,十層/十五層,,3,11,1,1,1,24.252007047739895,120.70933040878265,有,"252,922",bt_05.png,52,46.65,+NypBQXNh1WJG4tVlzczzdVdO8M0AvS5IKK7Uh0o4c0=,房地(土地+建物)+車位,"1,180",Biz,3房2廳2衛有隔間,B09
特定農業區,甲種建築用地,三豐路二段549巷331弄211~240號,透天厝,,B,,11002,無,,全/四層,,27,12,2,1,0,24.273259705641337,120.71228474311846,無,"123,174",bt_02.png,16,64.95,v/6TyHhgnj5pPum3anaw0NVdO8M0AvS5IKK7Uh0o4c0=,房地(土地+建物),800,Biz,4房2廳3衛有隔間,B09
其他,,中正路167巷1~30號,華廈(10層含以下有電梯),100.00%,B,,11002,有,,"六層,騎樓/六層",,47,13,1,1,0,24.251204470872313,120.71949531744217,有,"89,329",bt_06.png,27,17.35,NdZOapiVrjp9BHSD9k8sudVdO8M0AvS5IKK7Uh0o4c0=,房地(土地+建物),155,Biz,3房1廳1衛有隔間,B09
其他,,田心路二段211~240號,華廈(10層含以下有電梯),72.79%,B,,11002,有,,四層/七層,,28,14,1,1,1,24.239342897219437,120.72201459478647,有,"157,213",bt_06.png,23,34.98,QR8DayoxJ8s/YFBiH+tuqtVdO8M0AvS5IKK7Uh0o4c0=,房地(土地+建物)+車位,550,Biz,3房2廳2衛有隔間,B09
其他,,育英路56巷14弄1~30號,華廈(10層含以下有電梯),54.12%,B,,11002,有,,五層/六層,,29,15,1,1,1,24.242977072803228,120.71585458662923,無,"97,861",bt_06.png,29,30.66,DL2xNXfNdoACuSFW5JfmGdVdO8M0AvS5IKK7Uh0o4c0=,房地(土地+建物)+車位,300,Biz,3房1廳1衛有隔間,B09
其他,,西勢路152巷1~30號,透天厝,,B,,11002,無,,全/二層,,47,16,1,1,0,24.244933744153833,120.70753454840148,無,"214,264",bt_02.png,8,26.14,mnbwYv8odDCkLeyUCMvWy9VdO8M0AvS5IKK7Uh0o4c0=,房地(土地+建物),560,Biz,4房2廳4衛有隔間,B09
其他,,中山路211~240號,住宅大樓(11層含以上有電梯),64.18%,B,,11002,有,,七層/十一層,,14,17,2,1,0,24.240933778843626,120.71298079944712,有,"163,388",bt_05.png,32,52.63,bnvuNtdOyyMnbB1oFUrhztVdO8M0AvS5IKK7Uh0o4c0=,房地(土地+建物),860,Biz,4房2廳2衛有隔間,B09
其他,,北陽路450巷58弄31~60號,透天厝,,B,,11002,無,,全/二層,,36,18,1,1,0,24.25041883583998,120.73924109120797,無,"294,291",bt_02.png,10,32.96,op/WeqkpSYr7xk3Y09kdOtVdO8M0AvS5IKK7Uh0o4c0=,房地(土地+建物),970,Biz,5房3廳2衛有隔間,B09
其他,,圳寮路7巷1~30號,公寓(5樓含以下無電梯),90.28%,B,,11002,無,,四層/五層,,39,19,1,1,0,24.254139098244895,120.71446581762659,無,"114,169",bt_01.png,18,23.65,mvxjzfOmXcC3hTBsi21yrdVdO8M0AvS5IKK7Uh0o4c0=,房地(土地+建物),270,Biz,3房1廳1衛有隔間,B09
