AA11,AA12,a,b,bs,city,cp,e,el,es,f,fi,g,id,j,k,l,lat,lon,m,p,pimg,r,s,sq,t,tp,type,v,district_code
其他,,文新街181巷1~30號,透天厝,,B,,11003,有,,全/四層,,2,0,1,1,0,24.262639965969484,120.82819573951065,無,"201,997",bt_02.png,12,82.18,TsRdrjTB6scwqMJKr1c9W3QzkUNiGGwKYv2LH8900D0=,房地(土地+建物),"1,660",Biz,5房1廳5衛有隔間,B10
其他,,三民街121~150號,透天厝,,B,,11002,無,,全/三層,,45,1,1,1,0,24.256203177164725,120.82993869021327,無,"149,061",bt_02.png,8,50.31,uW8P/BwKFoTkitN9MeCEUXQzkUNiGGwKYv2LH8900D0=,房地(土地+建物),750,Biz,5房2廳4衛有隔間,B10
其他,,新盛街121~150號,華廈(10層含以下有電梯),57.55%,B,,11002,有,,五層/六層,,17,2,4,1,0,24.247168255550303,120.83011466763857,有,"111,455",bt_06.png,32,40.37,ovp7fx9e8fT/YGzeo/H2SnQzkUNiGGwKYv2LH8900D0=,房地(土地+建物),450,Biz,3房2廳2衛有隔間,B10
其他,,豐勢路308巷1~30號,公寓(5樓含以下無電梯),,B,,11002,無,,"一層,二層/二層",,,3,1,1,0,24.253014428091266,120.83027973730051,無,"57,693",bt_01.png,8,5.20,1rr7puB/EsddwWMzOvEpinQzkUNiGGwKYv2LH8900D0=,房地(土地+建物),30,Biz,2房2廳1衛有隔間,B10
其他,,福成街19巷1~30號,透天厝,,B,,11002,無,,全/二層,,41,4,1,1,0,24.244492764289202,120.83957624024653,無,"101,907",bt_02.png,10,30.42,P48RthcIeZvxWZJPw0bKznQzkUNiGGwKYv2LH8900D0=,房地(土地+建物),310,Biz,3房2廳2衛有隔間,B10
其他,,名流街1~30號,華廈(10層含以下有電梯),65.69%,B,,11001,有,,九層/十層,,18,5,1,1,0,24.25145742618045,120.83405261159761,有,"117,759",bt_06.png,37,46.71,BFpoLdGKcjglE9bmN2JYVnQzkUNiGGwKYv2LH8900D0=,房地(土地+建物),550,Biz,3房2廳2衛有隔間,B10
其他,,東和街271~300號,透天厝,,B,,11001,無,,全/四層,-1,4,6,5,1,0,24.24708230971786,120.84475090807464,無,"156,089",bt_02.png,22,57.02,i43qPWcuJobd5HFDpMlZonQzkUNiGGwKYv2LH8900D0=,房地(土地+建物),890,Biz,4房3廳4衛有隔間,B10
其他,,粵寧街1~30號,透天厝,,B,,11001,無,,全/一層,0,8,7,1,1,0,24.267437625322966,120.82936923103031,無,"456,512",bt_02.png,34,31.76,eheuxSE2j2hwAs32aSp7rXQzkUNiGGwKYv2LH8900D0=,房地(土地+建物),"1,450",Biz,3房1廳2衛有隔間,B10
其他,,城興街241~270號,透天厝,,B,,11001,無,,全/三層,,15,8,1,1,0,24.221790163586807,120.83592139780457,無,"115,213",bt_02.png,9,47.74,WtXyNIjCcZLF1zkGBCFyfHQzkUNiGGwKYv2LH8900D0=,房地(土地+建物),550,Biz,4房1廳2衛有隔間,B10
,,第五橫街中和巷1~30號,透天厝,,B,,11001,無,,全/二層,,58,9,1,1,0,24.25808010583655,120.82890209791276,無,"247,438",bt_02.png,6,14.14,l+TYm9IAAiCSSHATgJy/cHQzkUNiGGwKYv2LH8900D0=,房地(土地+建物),350,Biz,2房1廳2衛有隔間,B10
其他,,泰昌二街53巷1~30號,透天厝,,B,,11001,無,,全/二層,,,10,1,1,0,24.248974303923674,120.8336516782437,無,"139,319",bt_02.png,14,38.04,lIuKmdzjxiOYzUbbY6vfH3QzkUNiGGwKYv2LH8900D0=,房地(土地+建物),530,Biz,6房3廳1衛有隔間,B10
