AA11,AA12,a,b,bs,city,cp,e,el,es,f,fi,g,id,j,k,l,lat,lon,m,p,pimg,r,s,sq,t,tp,type,v,district_code
其他,,七賢南路1~30號,透天厝,,B,,11003,無,,全/四層,,12,0,1,1,0,24.24181072622061,120.57313460455742,無,"190,919",bt_02.png,9,48.19,kY+8m6BpAbyv9ZwZ8OoxFwLKGney7Ky70FJUmb/KGwc=,房地(土地+建物),920,Biz,4房3廳3衛有隔間,B13
其他,,晉文路149巷8弄1~30號,透天厝,,B,,11003,無,,全/四層,,10,1,2,1,0,24.224067182969417,120.58276483983016,有,"185,088",bt_02.png,45,81.04,8SkiJvvEKaK8EMnTqvgGawLKGney7Ky70FJUmb/KGwc=,房地(土地+建物),"1,500",Biz,15房0廳15衛有隔間,B13
其他,,四平街38巷1~30號,公寓(5樓含以下無電梯),91.21%,B,,11003,無,,一層/五層,,38,2,4,1,0,24.232404184374754,120.5604424640071,無,"163,107",bt_01.png,41,24.52,mqwRr5fqMKgRILUpJ0fLswLKGney7Ky70FJUmb/KGwc=,房地(土地+建物),400,Biz,3房2廳2衛有隔間,B13
其他,,北勢二街10巷16弄1~30號,透天厝,,B,,11002,無,,全/二層,,40,3,1,1,0,24.230674317491363,120.56900775953885,無,"150,060",bt_02.png,8,31.19,GY78qHonGjvXf5h2RMlGyQLKGney7Ky70FJUmb/KGwc=,房地(土地+建物),468,Biz,4房1廳2衛有隔間,B13
其他,,正德路149巷30弄1~30號,透天厝,,B,,11002,無,,全/四層,,2,4,3,1,0,24.20337057283724,120.57235803352917,有,"262,985",bt_02.png,27,62.74,shJKId4ase9Js25SL4LLwgLKGney7Ky70FJUmb/KGwc=,房地(土地+建物),"1,650",Biz,5房2廳4衛有隔間,B13
其他,,中清路六段261巷136弄1~30號,透天厝,,B,,11002,無,,全/四層,,4,5,3,1,0,24.24418321520977,120.60841703487675,有,"208,159",bt_02.png,34,48.04,XYBb0zXpxjw7l1dSuvt1nwLKGney7Ky70FJUmb/KGwc=,房地(土地+建物),"1,000",Biz,4房2廳4衛有隔間,B13
其他,,保寧路22巷31~60號,華廈(10層含以下有電梯),65.69%,B,,11002,有,,七層/十層,,21,6,2,1,1,24.206774105313755,120.56486195862584,有,"157,302",bt_06.png,66,37.51,vuuS2kgWgrwU8e47xIN3rgLKGney7Ky70FJUmb/KGwc=,房地(土地+建物)+車位,590,Biz,3房2廳2衛有隔間,B13
其他,,忠貞路45巷1~30號,透天厝,,B,,11002,無,,全/二層,,,7,1,1,0,24.245259660649598,120.60586375073306,無,"136,790",bt_02.png,10,39.48,erKPqMSt4wkzMN1X9igQegLKGney7Ky70FJUmb/KGwc=,房地(土地+建物),540,Biz,3房2廳2衛有隔間,B13
其他,,中山路669巷1~30號,住宅大樓(11層含以上有電梯),,B,,11002,有,,三層/十二層,,3,8,1,1,1,24.257235939770194,120.56812991346305,有,"162,370",bt_05.png,42,50.01,d3MqrdQwV6etm9EPtRc1twLKGney7Ky70FJUmb/KGwc=,房地(土地+建物)+車位,812,Biz,3房2廳2衛有隔間,B13
其他,,向上路六段751~780號,華廈(10層含以下有電梯),51.03%,B,,11002,有,,九層/九層,,9,9,2,1,1,24.202335345363153,120.56962286150019,有,"157,299",bt_06.png,57,47.68,sRAedsMamQMRMf7VseXqqQLKGney7Ky70FJUmb/KGwc=,房地(土地+建物)+車位,750,Biz,3房2廳2衛有隔間,B13
其他,,晉文路1~30號,透天厝,,B,,11002,無,,全/四層,,16,10,1,1,0,24.223612776775575,120.57874040020101,無,"214,132",bt_02.png,9,61.18,bysEmb3eQqwfI+fbeBQl6QLKGney7Ky70FJUmb/KGwc=,房地(土地+建物),"1,310",Biz,4房0廳4衛有隔間,B13
其他,,正義路107巷31~60號,透天厝,,B,,11002,有,,全/三層,,6,11,1,1,0,24.205805538983128,120.57196794832419,無,"331,445",bt_02.png,10,58.83,bs8RVRADJoycru30j4etIgLKGney7Ky70FJUmb/KGwc=,房地(土地+建物),"1,950",Biz,3房3廳4衛有隔間,B13
其他,,自強路545巷35弄1~30號,透天厝,,B,,11002,無,,全/三層,,5,12,4,1,0,24.208339910241254,120.55692243354179,有,"229,841",bt_02.png,57,45.68,yqjRUxlP39pavZo47DW9lALKGney7Ky70FJUmb/KGwc=,房地(土地+建物),"1,050",Biz,4房3廳3衛有隔間,B13
其他,,保成路198巷31~60號,透天厝,,B,,11002,無,,全/三層,,15,13,1,1,0,24.212501099688307,120.56479033319408,無,"227,699",bt_02.png,9,40.84,REO4ovlBA3o66ZEUik+XxwLKGney7Ky70FJUmb/KGwc=,房地(土地+建物),930,Biz,4房2廳3衛有隔間,B13
其他,,六路六街20巷1~30號,華廈(10層含以下有電梯),64.83%,B,,11002,有,,一層/五層,,12,14,1,1,0,24.215285971117773,120.57593584532802,有,"129,514",bt_06.png,43,38.99,kik0h+hMJAYKxg+wWs/NmALKGney7Ky70FJUmb/KGwc=,房地(土地+建物),505,Biz,6房0廳6衛有隔間,B13
其他,,福幼街27巷31~60號,華廈(10層含以下有電梯),66.62%,B,,11002,有,,三層/五層,,13,15,1,1,0,24.228955601535777,120.56614290568979,有,"125,666",bt_06.png,40,38.99,DQwhIhNyIavst2aiJqycMQLKGney7Ky70FJUmb/KGwc=,房地(土地+建物),490,Biz,6房0廳6衛有隔間,B13
其他,,福人街91~120號,透天厝,,B,,11002,無,,全/四層,,40,16,1,1,0,24.24362694804758,120.56421726507189,無,"138,509",bt_02.png,11,90.97,wD1JkNZ4OkyC9kurF+gaVgLKGney7Ky70FJUmb/KGwc=,房地(土地+建物),"1,260",Biz,6房1廳4衛有隔間,B13
其他,,四平街38巷1~30號,公寓(5樓含以下無電梯),81.95%,B,,11002,無,,五層/五層,,38,17,1,1,0,24.232592285874176,120.56007799339685,無,"97,448",bt_01.png,29,13.34,pcLjIQdaW/Y4R+DP2zqjkgLKGney7Ky70FJUmb/KGwc=,房地(土地+建物),130,Biz,3房1廳1衛有隔間,B13
其他,,北勢東路714巷1~30號,透天厝,,B,,11002,無,,全/三層,,26,18,3,1,0,24.229975702535384,120.57165086590155,無,"293,848",bt_02.png,9,34.03,CnR5CUn9P+v/oJLuqFwT0QLKGney7Ky70FJUmb/KGwc=,房地(土地+建物),"1,000",Biz,5房2廳3衛有隔間,B13
其他,,向上路七段31~60號,住宅大樓(11層含以上有電梯),69.57%,B,,11002,有,,三層/十四層,,21,19,1,1,0,24.205098175547334,120.56608834139121,有,"125,421",bt_05.png,50,33.49,tm2S2UWcarlDwp7riLTl7QLKGney7Ky70FJUmb/KGwc=,房地(土地+建物),420,Biz,3房2廳2衛有隔間,B13
其他,,光榮街83巷31~60號,透天厝,,B,,11002,無,,全/四層,,14,20,6,3,1,24.2436901300171,120.56483939691931,無,"62,757",bt_02.png,75,215.11,oOD05ibKqGu9cxggymdqpgLKGney7Ky70FJUmb/KGwc=,房地(土地+建物)+車位,"1,350",Biz,5房1廳6衛有隔間,B13
其他,,民族路一段2巷121~150號,透天厝,,B,,11002,無,,全/四層,,,21,2,1,0,24.25818167169047,120.56604477109008,有,"174,949",bt_02.png,22,53.16,W9q5lnlOzLG1DWJOz5FqWQLKGney7Ky70FJUmb/KGwc=,房地(土地+建物),930,Biz,3房1廳4衛有隔間,B13
其他,,正義路410巷1~30號,透天厝,,B,,11002,有,,全/四層,,15,22,3,1,0,24.201658009651943,120.57374289666625,無,"170,291",bt_02.png,20,69.76,pm14vQvtcz0Z6ffYzw40bwLKGney7Ky70FJUmb/KGwc=,房地(土地+建物),"1,188",Biz,3房3廳3衛有隔間,B13
