AA11,AA12,a,b,bs,city,cp,e,el,es,f,fi,g,id,j,k,l,lat,lon,m,p,pimg,r,s,sq,t,tp,type,v,district_code
特定農業區,農牧用地,三重二路271~300號,透天厝,,B,,11003,無,,全/二層,,9,0,1,1,0,24.297649206497937,120.68865164123748,無,"97,101",bt_02.png,60,74.10,nK7/pG2hyLgY79C2qTEq5PE3jV6CwUJ37BSlwAdt/Ds=,房地(土地+建物),719,Biz,3房1廳4衛有隔間,B15
其他,,民生路48巷1~30號,透天厝,,B,,11003,有,,全/三層,,1,1,2,1,0,24.30888397825483,120.7162178168916,無,"279,028",bt_02.png,18,60.14,jni4kUhXztoSu3sfnMDQmvE3jV6CwUJ37BSlwAdt/Ds=,房地(土地+建物),"1,678",Biz,4房3廳5衛有隔間,B15
其他,,甲后路一段261巷38弄31~60號,透天厝,,B,,11002,無,,全/二層,,49,2,1,1,0,24.307589047616684,120.72621536600712,無,"154,843",bt_02.png,11,35.52,6tYwDtNWp+JkXY8/SGD4d/E3jV6CwUJ37BSlwAdt/Ds=,房地(土地+建物),550,Biz,3房2廳2衛有隔間,B15
其他,,民生路91~120號,透天厝,,B,,11002,無,,全/三層,,21,3,9,1,0,24.30724694892059,120.71619485769551,無,"659,174",bt_02.png,58,420.82,r/EhXJlr7wECxqENKW7hevE3jV6CwUJ37BSlwAdt/Ds=,房地(土地+建物),"27,739",Biz,,B15
其他,,平安路1~30號,華廈(10層含以下有電梯),63.85%,B,,11002,有,,四層/九層,,3,4,3,1,0,24.304233877783247,120.71352328372572,有,"195,150",bt_06.png,38,24.60,NUzOAa7F53q+FS6bgWuFBvE3jV6CwUJ37BSlwAdt/Ds=,房地(土地+建物),480,Biz,2房1廳1衛有隔間,B15
其他,,三豐路四段199巷13弄1~30號,透天厝,,B,,11002,無,,全/三層,,6,5,2,1,0,24.314233872528032,120.72288464312793,無,"273,673",bt_02.png,25,52.98,LNxUcIOz6TYs3qFwJjUWF/E3jV6CwUJ37BSlwAdt/Ds=,房地(土地+建物),"1,450",Biz,4房2廳5衛有隔間,B15
特定農業區,農牧用地,九甲二路211~240號,透天厝,,B,,11002,無,,全/一層,1,,6,1,1,0,24.31592621437078,120.71475130023855,無,"107,706",bt_02.png,36,241.39,afPnTx9/6LCP71wSkjdCV/E3jV6CwUJ37BSlwAdt/Ds=,房地(土地+建物),"2,600",Biz,,B15
其他,,后里路121~150號,透天厝,,B,,11001,無,,全/四層,0,5,7,2,1,0,24.30965303224592,120.72023246125053,無,"223,633",bt_02.png,16,151.14,+CvXfSHHXL9zL+Gqk3bp9PE3jV6CwUJ37BSlwAdt/Ds=,房地(土地+建物),"3,380",Biz,7房5廳8衛有隔間,B15
其他,,內東路廣成巷121~150號,透天厝,,B,,11001,無,,全/三層,,1,8,1,1,0,24.302641447129172,120.7312302687284,無,"285,431",bt_02.png,8,45.90,CySpc29nZyyG6DKdPN/zhBEp/jnOac8xPA+d01+wsxo=,房地(土地+建物),"1,310",Biz,4房3廳3衛有隔間,B15
其他,,大圳路421~450號,華廈(10層含以下有電梯),,B,,11001,有,,一層/四層,,4,9,1,1,0,24.30749147085443,120.70974667935693,無,"303,960",bt_06.png,13,27.80,uW4J7HVXjLOaccVd2dWF5PE3jV6CwUJ37BSlwAdt/Ds=,房地(土地+建物),845,Biz,,B15
其他,,成功路265巷1~30號,透天厝,,B,,11001,無,,全/三層,,27,10,2,1,0,24.310477436864442,120.71830251389575,無,"327,250",bt_02.png,21,109.03,uDGdMV6iGDgFew4OkfjagfE3jV6CwUJ37BSlwAdt/Ds=,房地(土地+建物),"3,568",Biz,6房2廳6衛有隔間,B15
其他,,富春路121~150號,透天厝,,B,,11001,無,,全/四層,,18,11,2,1,0,24.308303499192085,120.70489777113085,有,"146,704",bt_02.png,38,78.39,Tw384bjKt1xhBRyn/2ILYvE3jV6CwUJ37BSlwAdt/Ds=,房地(土地+建物),"1,150",Biz,5房3廳3衛有隔間,B15
其他,,福音路121~150號,透天厝,,B,,11001,無,,全/四層,,39,12,1,1,0,24.30611684439055,120.71025571664578,無,"187,382",bt_02.png,14,107.96,qCAZ97SSTD4MAfcq0woihvE3jV6CwUJ37BSlwAdt/Ds=,房地(土地+建物),"2,023",Biz,5房4廳5衛有隔間,B15
