AA11,AA12,a,b,bs,city,cp,e,el,es,f,fi,g,id,j,k,l,lat,lon,m,p,pimg,r,s,sq,t,tp,type,v,district_code
其他,,社口街451~480號,透天厝,,B,,11003,無,,全/三層,,13,0,1,1,0,24.25201246149561,120.67922210472342,無,"45,788",bt_02.png,9,48.66,OUukxV7dfe30uhXPwFFpIGPuTEcZF1c4iMCrKaulN6Y=,房地(土地+建物),222,Biz,4房1廳3衛有隔間,B16
其他,,大裡街31~60號,透天厝,,B,,11003,無,,全/二層,,41,1,1,1,0,24.250074125401905,120.69695013720894,無,"195,610",bt_02.png,8,30.67,KAs4dXeiue8B9sKd9ccoXmPuTEcZF1c4iMCrKaulN6Y=,房地(土地+建物),600,Biz,,B16
其他,,三民路601~630號,透天厝,,B,,11002,無,,全/三層,,21,2,1,1,0,24.272400375109743,120.65972102178603,無,"247,878",bt_02.png,9,17.75,b56s6OEwDuedvKQzUpQi7mPuTEcZF1c4iMCrKaulN6Y=,房地(土地+建物),440,Biz,,B16
其他,,中山路667巷91~120號,透天厝,,B,,11002,無,,全/三層,,30,3,1,1,0,24.245435780688542,120.675136332825,無,"151,369",bt_02.png,12,37.00,5gSFDkiN4tihja8vA5RxL2PuTEcZF1c4iMCrKaulN6Y=,房地(土地+建物),560,Biz,3房2廳2衛有隔間,B16
其他,,社口街256巷32弄1~30號,透天厝,,B,,11002,無,,全/三層,,3,4,2,1,0,24.251952841736678,120.68412399183633,無,"202,208",bt_02.png,11,62.31,wHaD/Kd/SgWe4zwd3nuB7GPuTEcZF1c4iMCrKaulN6Y=,房地(土地+建物),"1,260",Biz,4房3廳3衛有隔間,B16
其他,,五權路88巷81弄1~30號,透天厝,,B,,11002,無,,全/三層,,29,5,1,1,0,24.256815756908704,120.70873152995085,無,"222,724",bt_02.png,9,46.16,uPzBwGPOaZcUH924I5D1NGPuTEcZF1c4iMCrKaulN6Y=,房地(土地+建物),"1,028",Biz,4房3廳3衛有隔間,B16
其他,,東洲路234巷1~30號,透天厝,,B,,11001,無,,全/三層,,17,6,2,1,0,24.267165963371404,120.7087542368838,無,"292,836",bt_02.png,20,48.83,XJMslccDygB6uijw5UCdRWPuTEcZF1c4iMCrKaulN6Y=,房地(土地+建物),"1,430",Biz,3房3廳3衛有隔間,B16
其他,,大明路28巷121~150號,透天厝,,B,,11001,無,,全/三層,0,15,7,1,1,0,24.26519486558144,120.70198112363337,無,"46,017",bt_02.png,21,98.18,1SRDcMf2s89WRqI4Oexmi2PuTEcZF1c4iMCrKaulN6Y=,房地(土地+建物),451,Biz,4房2廳2衛有隔間,B16
其他,,豐洲路180巷1~30號,透天厝,,B,,11001,無,,全/四層,,32,8,3,1,0,24.259118725572314,120.71066004768434,無,"178,139",bt_02.png,29,53.78,gIjwKnZmSKeexwxpIOQDumPuTEcZF1c4iMCrKaulN6Y=,房地(土地+建物),958,Biz,5房1廳3衛有隔間,B16
其他,,東洲路1~30號,透天厝,,B,,11001,無,,全/四層,,23,9,2,1,1,24.258911323942336,120.71222938981367,無,"166,754",bt_02.png,15,61.77,cvrl2VZ4zgO+JoQmgbtK72PuTEcZF1c4iMCrKaulN6Y=,房地(土地+建物)+車位,"1,030",Biz,5房2廳4衛有隔間,B16
其他,,厚生路31~60號,透天厝,,B,,11001,無,,全/二層,,43,10,3,1,0,24.25796950075636,120.6720429076149,無,"183,177",bt_02.png,18,61.69,v4IvTOr4/G4ebnQi0YOrJGPuTEcZF1c4iMCrKaulN6Y=,房地(土地+建物),"1,130",Biz,5房3廳2衛有隔間,B16
其他,,大富路156巷18弄1~30號,透天厝,,B,,11001,無,,全/三層,,23,11,2,1,0,24.245014284430855,120.6891791834337,無,"22,863",bt_02.png,41,61.90,V3rtjBSA9BUgX4qOYk3BymPuTEcZF1c4iMCrKaulN6Y=,房地(土地+建物),141,Biz,4房2廳3衛有隔間,B16
其他,,民生路46巷1~30號,公寓(5樓含以下無電梯),91.93%,B,,11001,無,,四層/四層,,40,12,1,1,0,24.245182661091057,120.68066465277204,無,"154,658",bt_01.png,18,25.86,+ryjO/PxkJeyaXIvKyMxNGPuTEcZF1c4iMCrKaulN6Y=,房地(土地+建物),400,Biz,3房2廳1衛有隔間,B16
其他,,民生路38巷1~30號,透天厝,,B,,11001,無,,全/二層,-1,48,13,1,1,0,24.245326167855048,120.68085287374822,無,"220,998",bt_02.png,9,21.72,o6Hp69Qc8iolD49GM+0cDGPuTEcZF1c4iMCrKaulN6Y=,房地(土地+建物),480,Biz,4房2廳1衛有隔間,B16
其他,,大洲路451~480號,華廈(10層含以下有電梯),70.30%,B,,11001,有,,六層/七層,,29,14,1,1,0,24.248993613998625,120.69618949513654,無,"164,119",bt_06.png,26,32.90,esaBbXEJ+xrUNU2YpAvJkWPuTEcZF1c4iMCrKaulN6Y=,房地(土地+建物),540,Biz,3房2廳1衛有隔間,B16
其他,,文昌街151~180號,華廈(10層含以下有電梯),58.64%,B,,11001,有,,七層/七層,,3,15,1,1,1,24.250146133670004,120.68332004393186,有,"233,028",bt_06.png,55,27.89,2BTUlkI2L3e6utK6CQzH1GPuTEcZF1c4iMCrKaulN6Y=,房地(土地+建物)+車位,650,Biz,2房1廳1衛有隔間,B16
其他,,社口街121~150號,華廈(10層含以下有電梯),63.50%,B,,11001,無,,五層/六層,0,24,16,7,1,1,24.250811816230993,120.68626242605777,有,"142,780",bt_06.png,41,32.92,7GgtF3zvEBusKMhRVmg1vWPuTEcZF1c4iMCrKaulN6Y=,房地(土地+建物)+車位,470,Biz,3房2廳2衛有隔間,B16
其他,,中山路667巷61~90號,透天厝,,B,,11001,無,,全/四層,,2,17,2,1,0,24.24441143204413,120.6733666969046,有,"265,474",bt_02.png,24,54.88,IbxlOeg0KyVG1H4pR205bWPuTEcZF1c4iMCrKaulN6Y=,房地(土地+建物),"1,457",Biz,5房2廳4衛有隔間,B16
其他,,社口街336巷61~90號,透天厝,,B,,10912,無,,全/二層,-1,41,18,1,1,0,24.25175737694933,120.68114999265582,無,"204,522",bt_02.png,8,29.34,NbhsGWDSi4TuSf310kpnq2PuTEcZF1c4iMCrKaulN6Y=,房地(土地+建物),600,Biz,4房2廳3衛有隔間,B16
一般農業區,農牧用地,新興路301~330號,透天厝,,B,,10912,無,,全/三層,,26,19,1,1,0,24.2821217723959,120.63942470195988,無,"434,853",bt_02.png,48,120.73,RAj6xePgsF6pYcZkxePJPmPuTEcZF1c4iMCrKaulN6Y=,房地(土地+建物),"5,250",Biz,6房3廳5衛有隔間,B16
