AA11,AA12,a,b,bs,city,cp,e,el,es,f,fi,g,id,j,k,l,lat,lon,m,p,pimg,r,s,sq,t,tp,type,v,district_code
其他,,建興路152巷1~30號,華廈(10層含以下有電梯),60.00%,B,,11003,有,,五層/八層,,23,0,1,1,1,24.217469222633717,120.6667238724575,有,"144,916",bt_06.png,31,41.75,p4OAXLfFDyNadTeCMIm0AaKRmvCSX0PN09LV2x6zF9U=,房地(土地+建物)+車位,605,Biz,4房2廳2衛有隔間,B18
其他,,東大路二段1100巷1~30號,透天厝,,B,,11003,無,,全/三層,,28,1,2,1,0,24.23583710714264,120.61478532487945,無,"170,000",bt_02.png,45,43.53,ETZ3GDAb/OtqAJDmd5W8mKKRmvCSX0PN09LV2x6zF9U=,房地(土地+建物),740,Biz,4房2廳3衛有隔間,B18
其他,,龍善二街193巷31~60號,透天厝,,B,,11002,無,,全/三層,,19,2,3,1,0,24.21329439080881,120.66540614973273,無,"98,079",bt_02.png,18,50.88,rM25u6gXKzY62khfbJXTUaKRmvCSX0PN09LV2x6zF9U=,房地(土地+建物),499,Biz,4房2廳3衛有隔間,B18
其他,,中清路三段1132巷1~30號,住宅大樓(11層含以上有電梯),,B,,11002,有,,十層/十四層,,7,3,1,1,2,24.223025697101054,120.64742947411685,有,"237,058",bt_05.png,35,52.14,m1wkSlu5jA3ECeh3p9LLAaKRmvCSX0PN09LV2x6zF9U=,房地(土地+建物)+車位,"1,236",Biz,3房2廳2衛有隔間,B18
其他,,楓林街181~210號,住宅大樓(11層含以上有電梯),,B,,11002,有,,十四層/十四層,,,4,1,1,1,24.23587525621013,120.6681613416858,有,"215,309",bt_05.png,61,38.08,5uUz6ExF/E3J4AN3FLJ+4aKRmvCSX0PN09LV2x6zF9U=,房地(土地+建物)+車位,820,Biz,2房2廳1衛有隔間,B18
其他,,昌平路四段91~120號,透天厝,,B,,11002,無,,全/二層,,42,5,3,1,0,24.21778298426487,120.66837362905594,無,"343,745",bt_02.png,10,37.82,NYHGJ9/2xnlBWnD36hK+/KKRmvCSX0PN09LV2x6zF9U=,房地(土地+建物),"1,300",Biz,4房2廳3衛有隔間,B18
其他,,學府路76巷31~60號,華廈(10層含以下有電梯),65.14%,B,,11002,有,,八層/十層,,29,6,1,1,1,24.21800395796747,120.65227145950418,有,"188,678",bt_06.png,76,34.19,U+TPLe0FHRVxKUAX/8fm86KRmvCSX0PN09LV2x6zF9U=,房地(土地+建物)+車位,645,Biz,3房2廳2衛有隔間,B18
其他,,學府路250巷98弄1~30號,華廈(10層含以下有電梯),72.23%,B,,11002,有,,五層/七層,,28,7,1,1,0,24.22372377274488,120.65317897333291,有,"116,060",bt_06.png,29,25.85,WqeRfgsadmrnVvirBrsj/6KRmvCSX0PN09LV2x6zF9U=,房地(土地+建物),300,Biz,2房2廳1衛有隔間,B18
其他,,神林南路313巷15弄1~30號,透天厝,,B,,11002,無,,全/四層,,28,8,2,1,0,24.222617032872854,120.65767850790402,無,"116,688",bt_02.png,15,44.39,srdepuLN/m9/xv66N1xuA6KRmvCSX0PN09LV2x6zF9U=,房地(土地+建物),518,Biz,4房2廳3衛有隔間,B18
其他,,民興街61~90號,透天厝,,B,,11002,無,,全/三層,,38,9,3,1,0,24.225847492792116,120.64828519528297,無,"542,995",bt_02.png,22,115.65,J23h6EOgAcarRTuGD9HW9qKRmvCSX0PN09LV2x6zF9U=,房地(土地+建物),"6,280",Biz,3房0廳0衛有隔間,B18
其他,,中山北路380巷1~30號,華廈(10層含以下有電梯),73.41%,B,,11002,有,,二層/七層,,26,10,2,1,0,24.22155289207397,120.64581589244084,有,"162,770",bt_06.png,17,34.53,kw2k8vvYAyjj4SethB3ZrqKRmvCSX0PN09LV2x6zF9U=,房地(土地+建物),562,Biz,3房2廳2衛有隔間,B18
其他,,民權街39巷1~30號,住宅大樓(11層含以上有電梯),66.08%,B,"200,000",11002,有,71.17%,十三層/十四層,,27,11,1,1,1,24.233156589694925,120.66797195164376,有,"152,502",bt_05.png,44,25.57,pwLID+zqorlBeh9tJTRK26KRmvCSX0PN09LV2x6zF9U=,房地(土地+建物)+車位,382,Biz,2房2廳1衛有隔間,B18
其他,,東大路二段1081~1110號,透天厝,,B,,11002,無,,全/三層,,28,12,2,1,0,24.23583710714264,120.61478532487945,有,"178,717",bt_02.png,46,50.64,jhY3HtkPWEi7iCgHjgNy3qKRmvCSX0PN09LV2x6zF9U=,房地(土地+建物),905,Biz,4房2廳3衛有隔間,B18
其他,,神林南路43巷1弄1~30號,透天厝,,B,,11002,無,,全/二層,,42,13,2,1,0,24.22824824268184,120.65554456251925,無,"276,526",bt_02.png,9,27.12,WZVxxQiyPgwe6ZiiNRxyrqKRmvCSX0PN09LV2x6zF9U=,房地(土地+建物),750,Biz,4房3廳2衛有隔間,B18
其他,,昌平路三段689巷77弄31~60號,透天厝,,B,,11002,無,,全/三層,,26,14,4,1,0,24.21078972170842,120.6695612942743,無,"236,112",bt_02.png,24,45.32,ev4ZaikRmWWqI4+5kn7YtqKRmvCSX0PN09LV2x6zF9U=,房地(土地+建物),"1,070",Biz,4房3廳3衛有隔間,B18
其他,,東大路二段1099巷31~60號,透天厝,,B,,11002,無,,全/三層,,24,15,2,1,0,24.236582279097583,120.61328686726105,有,"204,271",bt_02.png,50,38.18,dczIziZetPzgK4dCkzEYsqKRmvCSX0PN09LV2x6zF9U=,房地(土地+建物),780,Biz,4房2廳3衛有隔間,B18
其他,,民生路一段163巷31~60號,透天厝,,B,,11002,無,,全/二層,,45,16,2,1,0,24.227527898797483,120.64929620321514,無,"374,476",bt_02.png,10,28.84,UsRHt5zl0pRVZiJgavmTPaKRmvCSX0PN09LV2x6zF9U=,房地(土地+建物),"1,080",Biz,3房2廳3衛有隔間,B18
其他,,雅潭路四段661巷31~60號,住宅大樓(11層含以上有電梯),,B,,11002,有,,十一層/十二層,,7,17,1,1,1,24.22015693690373,120.65206378141805,有,"205,441",bt_05.png,52,37.97,tTQY0AWl/bjpVvzr9qMhf6KRmvCSX0PN09LV2x6zF9U=,房地(土地+建物)+車位,780,Biz,2房2廳2衛有隔間,B18
其他,,中山北路117巷1~30號,華廈(10層含以下有電梯),65.72%,B,,11002,有,,三層/六層,,28,18,1,1,1,24.216885256728574,120.64678575897894,有,"184,985",bt_06.png,59,37.57,wdVb9VKMkdun3QKVcQAcX6KRmvCSX0PN09LV2x6zF9U=,房地(土地+建物)+車位,695,Biz,3房3廳2衛有隔間,B18
其他,,中清路三段1132巷1~30號,住宅大樓(11層含以上有電梯),,B,,11002,有,,十三層/十四層,,7,19,1,1,1,24.223025697101054,120.64742947411685,有,"255,441",bt_05.png,35,46.19,pV/HaqDyWQVPmV7YWhCttKKRmvCSX0PN09LV2x6zF9U=,房地(土地+建物)+車位,"1,180",Biz,2房2廳1衛有隔間,B18
其他,,雅潭路四段661巷91~120號,透天厝,,B,,11002,無,,全/二層,,40,20,2,1,0,24.2193488215882,120.65304806128661,無,"298,681",bt_02.png,10,33.48,LQolkaBbM1Nwan2ZMMjSVKKRmvCSX0PN09LV2x6zF9U=,房地(土地+建物),"1,000",Biz,5房3廳3衛有隔間,B18
其他,,學府路452巷1~30號,住宅大樓(11層含以上有電梯),54.96%,B,,11002,有,62.26%,九層/十四層,,9,21,1,1,1,24.228641073392485,120.64826373676979,有,"245,445",bt_05.png,51,42.78,UHB/F3zs2M+K/xgKvLruJKKRmvCSX0PN09LV2x6zF9U=,房地(土地+建物)+車位,"1,050",Biz,3房2廳2衛有隔間,B18
