AA11,AA12,a,b,bs,city,cp,e,el,es,f,fi,g,id,j,k,l,lat,lon,m,p,pimg,r,s,sq,t,tp,type,v,district_code
其他,,豐勢路601~630號,透天厝,,B,,11001,無,,全/二層,0,35,0,2,1,0,24.270128369861542,120.7970554869164,無,"76,324",bt_02.png,21,203.08,NRnvyNZKghwpr2EjIRPWVfQSCyF63044fo/+qqWX+Vo=,房地(土地+建物),"1,550",Biz,4房1廳2衛有隔間,B20
特定農業區,農牧用地,豐勢路90巷61~90號,透天厝,,B,,11001,無,,全/一層,,14,1,3,1,0,24.26221729477953,120.81501953353921,無,"975,157",bt_02.png,61,12.31,Ms1PRtskmNmaB+nGBDgmYfQSCyF63044fo/+qqWX+Vo=,房地(土地+建物),"1,200",Biz,1房1廳1衛有隔間,B20
特定農業區,甲種建築用地,豐勢路和順巷31~60號,透天厝,,B,,11001,無,,全/三層,,10,2,3,1,0,24.274934515724823,120.80596194070446,無,"145,154",bt_02.png,34,124.01,u99DfA1/EEyHXN4wwd/sVvQSCyF63044fo/+qqWX+Vo=,房地(土地+建物),"1,800",Biz,10房3廳9衛有隔間,B20
其他,,大智街1~30號,透天厝,,B,,10912,無,,全/四層,,34,3,1,1,0,24.27561744207068,120.77720913473557,無,"147,240",bt_02.png,8,44.49,uHiEuQZngBbSzrD0lqkzhfQSCyF63044fo/+qqWX+Vo=,房地(土地+建物),655,Biz,4房3廳3衛有隔間,B20
鄉村區,乙種建築用地,和盛街和盛巷35弄31~60號,透天厝,,B,,10911,無,,全/二層,-1,43,4,2,1,0,24.25879065884691,120.81721875578349,無,"111,610",bt_02.png,8,28.22,3SMS4TU2ex+ehqJYajQI9fQSCyF63044fo/+qqWX+Vo=,房地(土地+建物),315,Biz,5房2廳1衛有隔間,B20
特定農業區,甲種建築用地,豐勢路慈雲巷1~30號,透天厝,,B,,10911,無,,全/三層,-1,17,5,1,1,0,24.264629442098208,120.80736137644075,無,"141,838",bt_02.png,10,52.17,5RwB8S1UWyU1fjhM5B2OpPQSCyF63044fo/+qqWX+Vo=,房地(土地+建物),740,Biz,4房2廳3衛有隔間,B20
特定農業區,甲種建築用地,豐勢路421~450號,透天厝,,B,,10911,無,,全/四層,-1,3,6,2,1,0,24.268292995218548,120.80274243745532,無,"184,995",bt_02.png,10,70.81,KVrh2WBKDZQIwOMMgAZWyPQSCyF63044fo/+qqWX+Vo=,房地(土地+建物),"1,310",Biz,5房2廳5衛有隔間,B20
,,豐勢路1116巷1~30號,透天厝,,B,,10910,無,,全/三層,-1,12,7,3,1,0,24.277846163624528,120.7722442781151,無,"159,088",bt_02.png,28,52.17,VOStfwl73gI16srRmzG+yfQSCyF63044fo/+qqWX+Vo=,房地(土地+建物),830,Biz,3房1廳2衛有隔間,B20
一般農業區,農牧用地,萬仙街1~30號,透天厝,,B,,10910,無,,全/二層,0,5,8,1,1,0,24.25791835519469,120.789571787822,無,"352,354",bt_02.png,39,59.88,NrlNczGagYe+jBsKrqEdkfQSCyF63044fo/+qqWX+Vo=,房地(土地+建物),"2,110",Biz,2房1廳2衛有隔間,B20
鄉村區,乙種建築用地,和盛街和盛巷35弄31~60號,透天厝,,B,,10910,無,,全/二層,-1,43,9,1,1,0,24.259004585401737,120.8171623129295,無,"150,833",bt_02.png,10,31.82,jtpiDOVh3tA3lc7YSRpjUfQSCyF63044fo/+qqWX+Vo=,房地(土地+建物),480,Biz,4房3廳1衛有隔間,B20
特定農業區,甲種建築用地,豐勢路梅子巷31~60號,透天厝,,B,,10910,無,,全/三層,-1,31,10,2,1,0,24.27059149694231,120.80458763806864,無,"146,698",bt_02.png,18,57.26,aFIU86ZKsiPEWgd4lRghm/QSCyF63044fo/+qqWX+Vo=,房地(土地+建物),840,Biz,5房2廳2衛有隔間,B20
,,萬興街79巷1~30號,透天厝,,B,,10909,無,,全/一層,0,44,11,3,1,0,24.273124217774807,120.79233765740032,無,"238,169",bt_02.png,16,20.99,vq+CCGwjmm2sUdNK+WkN5fQSCyF63044fo/+qqWX+Vo=,房地(土地+建物),500,Biz,2房1廳1衛有隔間,B20
,,金順街32巷1~30號,透天厝,,B,,10908,無,,全/四層,-1,1,12,3,1,0,24.280588073078363,120.78003684372412,無,"215,002",bt_02.png,20,53.49,/awfNFcIqAnONPXDvlLKFPQSCyF63044fo/+qqWX+Vo=,房地(土地+建物),"1,150",Biz,3房3廳3衛有隔間,B20
特定農業區,甲種建築用地,豐勢路185巷1~30號,透天厝,,B,,10908,無,,全/一層,-1,46,13,5,1,0,24.26281105205744,120.81141151801735,無,"122,866",bt_02.png,15,14.65,4k880RPNcC3fQ1oHbRS9ZvQSCyF63044fo/+qqWX+Vo=,房地(土地+建物),180,Biz,2房1廳1衛有隔間,B20
鄉村區,乙種建築用地,豐勢路65巷1~30號,透天厝,,B,,10908,無,,全/二層,0,38,14,2,1,0,24.260165620413094,120.81556713472732,無,"156,850",bt_02.png,9,26.78,RmoUV+oinE2XbjskNufaKPQSCyF63044fo/+qqWX+Vo=,房地(土地+建物),420,Biz,4房2廳2衛有隔間,B20
鄉村區,乙種建築用地,和盛街和盛巷35弄31~60號,透天厝,,B,,10908,無,,全/二層,-1,43,15,1,1,0,24.259004585401737,120.8171623129295,無,"100,555",bt_02.png,10,31.82,Y5vZi8tWpWcaJZjS6H6ukPQSCyF63044fo/+qqWX+Vo=,房地(土地+建物),320,Biz,4房3廳1衛有隔間,B20
特定農業區,甲種建築用地,豐勢路梅子巷31~60號,透天厝,,B,,10906,無,,全/三層,0,1,16,1,1,0,24.27314259061693,120.80246763047937,無,"188,734",bt_02.png,11,54.57,K3gch1L6fP7L47Y9TAdg+PQSCyF63044fo/+qqWX+Vo=,房地(土地+建物),"1,030",Biz,4房3廳3衛有隔間,B20
特定農業區,甲種建築用地,豐勢路梅子巷31~60號,透天厝,,B,,10905,無,,全/三層,0,1,17,1,1,0,24.27313849374706,120.80237347384653,無,"159,537",bt_02.png,9,53.91,u1O2bG/w+24at9S5i/cgh/QSCyF63044fo/+qqWX+Vo=,房地(土地+建物),860,Biz,4房3廳3衛有隔間,B20
特定農業區,甲種建築用地,豐勢路梅子巷31~60號,透天厝,,B,,10905,無,,全/三層,0,1,18,1,1,0,24.27314938601242,120.80241088579601,無,"157,683",bt_02.png,9,53.91,i2He8MhR6ULjV0ez7VEMKvQSCyF63044fo/+qqWX+Vo=,房地(土地+建物),850,Biz,4房3廳3衛有隔間,B20
農,,豐勢路山下巷1~30號,透天厝,,B,,10905,無,,全/二層,0,39,19,1,1,0,24.272145289463406,120.7857144070279,無,"107,471",bt_02.png,8,29.78,6rDQRhr9w0NMhctT906JUvQSCyF63044fo/+qqWX+Vo=,房地(土地+建物),320,Biz,3房2廳2衛有隔間,B20
山坡地保育區,暫未編定,石岡街頭坪巷1~30號,農舍,,B,,10904,無,,"一層,二層/二層",0,25,20,4,1,0,24.25665726105039,120.77926307539563,無,"224,777",bt_10.png,46,77.85,ogyK98w/6iXxxzWs+qgqK/QSCyF63044fo/+qqWX+Vo=,房地(土地+建物),"1,750",Biz,5房2廳6衛有隔間,B20
特定農業區,甲種建築用地,豐勢路梅子巷61~90號,透天厝,,B,,10904,無,,全/三層,-1,12,21,1,1,0,24.27374168005506,120.80018471907695,無,"89,402",bt_02.png,12,57.27,v3d4kn4qfNRIjLN+8U6Iw/QSCyF63044fo/+qqWX+Vo=,房地(土地+建物),512,Biz,5房2廳3衛有隔間,B20
特定農業區,甲種建築用地,豐勢路185巷1~30號,透天厝,,B,,10903,無,,全/一層,1,46,22,5,1,0,24.26281105205744,120.81141151801735,無,"110,579",bt_02.png,15,14.65,+ihbpQFePj8K3X5IqD5m7PQSCyF63044fo/+qqWX+Vo=,房地(土地+建物),162,Biz,2房1廳1衛有隔間,B20
農,,金順街32巷1~30號,透天厝,,B,,10903,無,,全/四層,0,1,23,3,1,0,24.280908548630656,120.78000181583917,無,"174,807",bt_02.png,20,53.49,5HOt8c8WnA24a7qHf8ELXPQSCyF63044fo/+qqWX+Vo=,房地(土地+建物),935,Biz,3房2廳3衛有隔間,B20
住,,豐勢路1051~1080號,透天厝,,B,,10903,無,,全/二層,0,43,24,1,1,0,24.277238377478934,120.7748925456739,無,"171,666",bt_02.png,10,32.62,Mf6zxn9NN8mXGUDkyQIDNvQSCyF63044fo/+qqWX+Vo=,房地(土地+建物),560,Biz,4房3廳2衛有隔間,B20
鄉村區,乙種建築用地,豐勢路77巷1~30號,透天厝,,B,,10902,無,,全/三層,0,36,25,1,1,0,24.26071244527691,120.81468311173877,無,"71,805",bt_02.png,12,44.56,sT4Ovc8Ng8XzP99nr6TFAvQSCyF63044fo/+qqWX+Vo=,房地(土地+建物),320,Biz,4房2廳2衛有隔間,B20
農,,豐勢路山下巷1~30號,透天厝,,B,,10902,無,,全/二層,0,43,26,1,1,0,24.272293332908642,120.7856905196781,無,"78,929",bt_02.png,9,34.07,5aF1/Mfh1w7Sb4KD0EZ98fQSCyF63044fo/+qqWX+Vo=,房地(土地+建物),268,Biz,3房2廳2衛有隔間,B20
一般農業區,甲種建築用地,和盛街南眉巷91~120號,透天厝,,B,,10902,無,,全/二層,0,10,27,1,1,0,24.258731619416313,120.81189883578944,無,"169,111",bt_02.png,11,49.97,7GCfOvAy1k8zuB9ARysr5PQSCyF63044fo/+qqWX+Vo=,房地(土地+建物),845,Biz,3房2廳2衛有隔間,B20
鄉村區,乙種建築用地,豐勢路77巷1~30號,透天厝,,B,,10902,無,,全/一層,0,49,28,4,1,0,24.26070019561006,120.81448940500032,無,"242,509",bt_02.png,19,23.50,uFW+Vz1+8GiB7qk5B9IwdPQSCyF63044fo/+qqWX+Vo=,房地(土地+建物),570,Biz,3房2廳2衛有隔間,B20
特定農業區,甲種建築用地,豐勢路和順巷1~30號,透天厝,,B,,10902,無,,全/二層,0,18,29,3,1,0,24.27362030673744,120.80560442186525,無,"194,334",bt_02.png,30,61.75,eVqlRRA1sB5s4E25Ai+fJfQSCyF63044fo/+qqWX+Vo=,房地(土地+建物),"1,200",Biz,5房3廳3衛有隔間,B20
