AA11,AA12,a,b,bs,city,cp,e,el,es,f,fi,g,id,j,k,l,lat,lon,m,p,pimg,r,s,sq,t,tp,type,v,district_code
鄉村區,乙種建築用地,大馬路482巷43弄31~60號,透天厝,,B,,11003,無,,全/一層,,,0,1,1,0,24.34304032459671,120.64236512032782,無,"166,258",bt_02.png,9,18.04,dK1qXqNPMUKnY0WqcyUa/0tl5bQ0rhSs+tYgJ0AUr8k=,房地(土地+建物),300,Biz,2房1廳1衛有隔間,B21
特定農業區,甲種建築用地,甲后路三段600巷31弄1~30號,透天厝,,B,,11002,無,,全/三層,,17,1,3,1,0,24.323419698590897,120.66349087968275,無,"177,666",bt_02.png,18,50.09,qDyW3o/IpnXJkXSzsRZ52ktl5bQ0rhSs+tYgJ0AUr8k=,房地(土地+建物),890,Biz,4房2廳4衛有隔間,B21
鄉村區,乙種建築用地,甲后路三段627巷1~30號,透天厝,,B,,11002,無,,全/二層,,40,2,1,1,0,24.32363335300573,120.66090574103289,無,"90,955",bt_02.png,8,31.88,mvVHp8RmbI8+hQ0sWqfvJktl5bQ0rhSs+tYgJ0AUr8k=,房地(土地+建物),290,Biz,3房1廳1衛有隔間,B21
山坡地保育區,丙種建築用地,山美路451巷121~150號,透天厝,,B,,11002,無,,全/四層,,25,3,2,1,0,24.333449779727793,120.6208447578253,有,"101,855",bt_02.png,67,71.67,dic5jJteByxcO6mJ2FHARUtl5bQ0rhSs+tYgJ0AUr8k=,房地(土地+建物),730,Biz,4房1廳3衛有隔間,B21
鄉村區,乙種建築用地,甲后路五段128巷91~120號,透天厝,,B,,11001,無,,全/三層,,16,4,1,1,0,24.342443076371218,120.64027360696488,無,"153,035",bt_02.png,9,42.47,tgBY4HJVeXtQqSbPJ9WQB0tl5bQ0rhSs+tYgJ0AUr8k=,房地(土地+建物),650,Biz,4房2廳3衛有隔間,B21
特定農業區,甲種建築用地,二崁路385巷13弄1~30號,透天厝,,B,,11001,無,,全/四層,,25,5,2,1,0,24.323166669118134,120.63732420215925,無,"114,202",bt_02.png,33,37.83,NnMWuhcuB9k6/xnp3hqODEtl5bQ0rhSs+tYgJ0AUr8k=,房地(土地+建物),432,Biz,4房2廳2衛有隔間,B21
鄉村區,乙種建築用地,甲后路五段128巷31~60號,透天厝,,B,,11001,無,,全/二層,,42,6,1,1,0,24.342921318776703,120.63863238708551,無,"162,631",bt_02.png,9,36.89,7VnLD27gp12S1Zf25FtlhEtl5bQ0rhSs+tYgJ0AUr8k=,房地(土地+建物),600,Biz,3房2廳2衛有隔間,B21
鄉村區,乙種建築用地,甲后路三段599巷1~30號,透天厝,,B,,11001,無,,全/二層,,40,7,1,1,0,24.323198770370407,120.66178730484084,無,"141,273",bt_02.png,11,6.37,nC4hkbqvMWv/VOcBCGISjUtl5bQ0rhSs+tYgJ0AUr8k=,房地(土地+建物),90,Biz,4房2廳2衛有隔間,B21
特定農業區,甲種建築用地,外埔路515巷1~30號,透天厝,,B,,11001,無,,全/四層,,6,8,1,1,0,24.333803009000015,120.67841834286536,無,"147,167",bt_02.png,10,62.38,SWc5GZSclt2j07XDWuG/MEtl5bQ0rhSs+tYgJ0AUr8k=,房地(土地+建物),918,Biz,4房2廳3衛有隔間,B21
其他,,中山路1~30號,透天厝,,B,,11001,無,,全/二層,,42,9,1,1,0,24.330926281164032,120.65218618093922,無,"168,350",bt_02.png,10,39.20,LbsREUM/qjJ9NSm4/ftK/0tl5bQ0rhSs+tYgJ0AUr8k=,房地(土地+建物),660,Biz,4房2廳2衛有隔間,B21
鄉村區,乙種建築用地,甲后路五段186巷1~30號,透天厝,,B,,11001,無,,全/二層,,42,10,1,1,0,24.343750098599305,120.63670534503945,無,"126,873",bt_02.png,9,39.41,EQNRyN84JECKq7HCv5/8iUtl5bQ0rhSs+tYgJ0AUr8k=,房地(土地+建物),500,Biz,4房1廳2衛有隔間,B21
鄉村區,乙種建築用地,甲后路五段121~150號,透天厝,,B,,11001,無,,全/三層,,42,11,1,1,0,24.342630921548757,120.63763687480291,無,"198,774",bt_02.png,9,63.39,30cSmKDisv0P6bWle+9G3Etl5bQ0rhSs+tYgJ0AUr8k=,房地(土地+建物),"1,260",Biz,4房2廳3衛有隔間,B21
鄉村區,乙種建築用地,甲后路五段130巷52弄61~90號,透天厝,,B,,10912,無,,全/四層,,28,12,3,1,0,24.34414093359126,120.63911231766782,無,"130,119",bt_02.png,18,51.49,e2m1MJ5MCyYwhVzFHyTdhUtl5bQ0rhSs+tYgJ0AUr8k=,房地(土地+建物),670,Biz,4房3廳3衛有隔間,B21
其他,,中山路246巷1~30號,透天厝,,B,,10912,無,,全/三層,1,,13,3,1,0,24.32951782614478,120.65782067436011,無,"149,193",bt_02.png,13,55.63,JiZv4EoiTIiawgezBCsZj0tl5bQ0rhSs+tYgJ0AUr8k=,房地(土地+建物),830,Biz,4房3廳3衛有隔間,B21
特定農業區,甲種建築用地,新厝路61~90號,透天厝,,B,,10912,無,,全/四層,,,14,2,1,0,24.33744001674369,120.6712990808289,無,"141,560",bt_02.png,18,59.34,hM7q9aGatC3Gl1aXhhQm/0tl5bQ0rhSs+tYgJ0AUr8k=,房地(土地+建物),840,Biz,5房2廳3衛有隔間,B21
其他,,甲后路三段937巷1~30號,透天厝,,B,,10912,無,,全/二層,,43,15,1,1,0,24.329991424655493,120.65440686616923,無,"180,645",bt_02.png,10,33.21,vHOIXPpFq80SqGbLcqzPFUtl5bQ0rhSs+tYgJ0AUr8k=,房地(土地+建物),600,Biz,6房2廳2衛有隔間,B21
鄉村區,乙種建築用地,甲東路36巷51弄31~60號,透天厝,,B,,10912,無,,全/三層,-1,26,16,2,1,0,24.342094905206157,120.63550776712913,有,"101,309",bt_02.png,53,55.28,vFB7pI/zMjMYNjrghcacTEtl5bQ0rhSs+tYgJ0AUr8k=,房地(土地+建物),560,Biz,3房2廳3衛有隔間,B21
鄉村區,乙種建築用地,東西巷1~30號,透天厝,,B,,10911,無,,全/三層,1,,17,1,1,0,24.33852329214544,120.66337412353151,無,"162,694",bt_02.png,11,52.24,9qQlD0zaM+N2cL3Df9zOVUtl5bQ0rhSs+tYgJ0AUr8k=,房地(土地+建物),850,Biz,4房3廳3衛有隔間,B21
其他,,中山路246巷1~30號,透天厝,,B,,10911,無,,全/三層,1,,18,3,1,0,24.32951782614478,120.65782067436011,無,"147,395",bt_02.png,13,55.63,LP79/d6U8LgMikwMj4KoZEtl5bQ0rhSs+tYgJ0AUr8k=,房地(土地+建物),820,Biz,4房3廳3衛有隔間,B21
其他,,中山路246巷1~30號,透天厝,,B,,10911,無,,全/三層,1,,19,3,1,0,24.32951782614478,120.65782067436011,無,"148,833",bt_02.png,13,55.63,+eS/7rqJWwG2koNcShDGpUtl5bQ0rhSs+tYgJ0AUr8k=,房地(土地+建物),828,Biz,4房3廳3衛有隔間,B21
鄉村區,乙種建築用地,水美路仁美巷61~90號,透天厝,,B,,10911,無,,全/二層,0,8,20,1,1,0,24.33578568712144,120.62910122902056,無,"206,195",bt_02.png,16,75.17,uHfKnRq+u5khTmhWEzJL7Etl5bQ0rhSs+tYgJ0AUr8k=,房地(土地+建物),"1,550",Biz,2房2廳3衛有隔間,B21
其他,,中山路246巷1~30號,透天厝,,B,,10911,無,,全/三層,1,,21,3,1,0,24.32951782614478,120.65782067436011,無,"148,116",bt_02.png,13,55.63,TQI7v9DDqYNgxNSP2bUQ40tl5bQ0rhSs+tYgJ0AUr8k=,房地(土地+建物),824,Biz,4房3廳3衛有隔間,B21
其他,,中山路246巷1~30號,透天厝,,B,,10911,無,,全/三層,1,,22,3,1,0,24.32951782614478,120.65782067436011,無,"146,317",bt_02.png,13,55.63,MxIDeZwhPQI8H14QPggTPUtl5bQ0rhSs+tYgJ0AUr8k=,房地(土地+建物),814,Biz,4房3廳3衛有隔間,B21
其他,,中山路258巷61~90號,透天厝,,B,,10911,無,,全/三層,0,4,23,1,1,0,24.328864670362353,120.65786529270869,無,"171,111",bt_02.png,11,66.04,xeTNyvjbc+ay9LwSFAAO5Etl5bQ0rhSs+tYgJ0AUr8k=,房地(土地+建物),"1,130",Biz,5房2廳3衛有隔間,B21
鄉村區,乙種建築用地,水美路61~90號,華廈(10層含以下有電梯),71.45%,B,,10911,有,,三層/六層,-1,2,24,1,1,0,24.330883194632005,120.63386761372085,有,"155,412",bt_06.png,24,28.96,X5Gy8q+18b5Xlrx3jJDoN0tl5bQ0rhSs+tYgJ0AUr8k=,房地(土地+建物),450,Biz,3房2廳1衛有隔間,B21
其他,,中山路246巷1~30號,透天厝,,B,,10911,無,,全/三層,1,,25,3,1,0,24.32951782614478,120.65782067436011,無,"151,851",bt_02.png,36,56.63,Ikz8J9Hyt0XdpP5qcyPkSEtl5bQ0rhSs+tYgJ0AUr8k=,房地(土地+建物),860,Biz,4房3廳3衛有隔間,B21
其他,,中山路246巷1~30號,透天厝,,B,,10911,無,,全/三層,1,,26,3,1,0,24.32951782614478,120.65782067436011,無,"153,653",bt_02.png,15,62.48,ni+Rz8Ngsp1QrF3cnFHKQ0tl5bQ0rhSs+tYgJ0AUr8k=,房地(土地+建物),960,Biz,4房3廳4衛有隔間,B21
鄉村區,乙種建築用地,東西巷1~30號,透天厝,,B,,10911,無,,全/三層,1,1,27,1,1,0,24.338581313473185,120.66343891242197,無,"157,207",bt_02.png,11,54.07,F4tMxdiPm4N+BXaJvZg7p0tl5bQ0rhSs+tYgJ0AUr8k=,房地(土地+建物),850,Biz,4房3廳3衛有隔間,B21
