AA11,AA12,a,b,bs,city,cp,e,el,es,f,fi,g,id,j,k,l,lat,lon,m,p,pimg,r,s,sq,t,tp,type,v,district_code
其他,,新興路661~690號,華廈(10層含以下有電梯),60.72%,B,,11003,有,,四層/七層,,39,0,1,2,0,24.106045500512444,120.61896911700731,有,"32,701",bt_06.png,31,19.95,afUWIG4vqQdGNlbj+Em0TpVTUUFHoYZbwkE8wlpOd2w=,房地(土地+建物),65,Biz,1房1廳1衛有隔間,B23
其他,,三榮路二段181~210號,住宅大樓(11層含以上有電梯),,B,,11003,有,,五層/十二層,,7,1,1,1,1,24.1082562402171,120.59642374809142,有,"190,357",bt_05.png,68,36.14,QsO14jr+mKzQWFdny43F/pVTUUFHoYZbwkE8wlpOd2w=,房地(土地+建物)+車位,688,Biz,2房2廳1衛有隔間,B23
其他,,中山路一段1~30號,住宅大樓(11層含以上有電梯),61.46%,B,,11002,有,,十四層/十六層,,27,2,1,1,1,24.111170684689473,120.64392113730626,有,"139,534",bt_05.png,77,38.13,x71F7WsyoPh8YTGsXmmR3pVTUUFHoYZbwkE8wlpOd2w=,房地(土地+建物)+車位,532,Biz,3房2廳2衛有隔間,B23
其他,,中華路612巷31~60號,透天厝,,B,,11002,無,,全/二層,,41,3,1,1,0,24.107136254832216,120.6331806171923,無,"288,896",bt_02.png,9,33.92,HR7kJhTVl6581dUg160AR5VTUUFHoYZbwkE8wlpOd2w=,房地(土地+建物),980,Biz,3房2廳2衛有隔間,B23
其他,,民權街1~30號,透天厝,,B,,11002,無,,全/四層,,15,4,1,1,0,24.109167143633815,120.62728738677116,無,"302,919",bt_02.png,10,88.47,tmN+YMckQub3xPEbS7Psc5VTUUFHoYZbwkE8wlpOd2w=,房地(土地+建物),"2,680",Biz,4房2廳4衛有隔間,B23
其他,,三榮路二段181~210號,住宅大樓(11層含以上有電梯),,B,,11002,有,,六層/十二層,,7,5,1,1,1,24.1082562402171,120.59642374809142,有,"190,357",bt_05.png,68,36.14,lej9PAW0hXAx7Epagc4+5ZVTUUFHoYZbwkE8wlpOd2w=,房地(土地+建物)+車位,688,Biz,2房2廳1衛有隔間,B23
其他,,三榮十五路1~30號,住宅大樓(11層含以上有電梯),,B,,11002,有,,一層/十二層,,6,6,1,1,2,24.10922198582258,120.59474400815276,有,"202,955",bt_05.png,82,58.63,vxbZ01obqL6ihpev31tCzZVTUUFHoYZbwkE8wlpOd2w=,房地(土地+建物)+車位,"1,190",Biz,4房2廳2衛有隔間,B23
其他,,環河路五段91~120號,住宅大樓(11層含以上有電梯),,B,,11002,有,,十二層/二十五層,,3,7,1,1,1,24.106800951035517,120.59908375199596,有,"236,238",bt_05.png,70,59.05,YyhfpZzuzQKP5zhpFAv91JVTUUFHoYZbwkE8wlpOd2w=,房地(土地+建物)+車位,"1,395",Biz,3房2廳2衛有隔間,B23
其他,,三榮路二段271~300號,住宅大樓(11層含以上有電梯),,B,,11002,有,,七層/十二層,,7,8,1,1,1,24.10854485882686,120.59459809377343,有,"202,007",bt_05.png,59,37.87,iz4dibssHU0u+BQuZMvsGZVTUUFHoYZbwkE8wlpOd2w=,房地(土地+建物)+車位,765,Biz,2房2廳1衛有隔間,B23
其他,,學田路便行巷36弄1~30號,華廈(10層含以下有電梯),,B,,11002,有,,七層/七層,,3,9,2,1,1,24.120351644344215,120.60671948201635,有,"201,418",bt_06.png,78,39.72,10c9VNfRCIBV/wKf4Yb/4JVTUUFHoYZbwkE8wlpOd2w=,房地(土地+建物)+車位,800,Biz,3房1廳2衛有隔間,B23
其他,,學田路便行巷133弄1~30號,透天厝,,B,,11002,無,,全/四層,,27,10,2,1,0,24.11604866790596,120.60564312751112,無,"152,512",bt_02.png,28,53.11,bWmv6NrMP2N2rKxrbyTgxZVTUUFHoYZbwkE8wlpOd2w=,房地(土地+建物),810,Biz,5房2廳3衛有隔間,B23
