AA11,AA12,a,b,bs,city,cp,e,el,es,f,fi,g,id,j,k,l,lat,lon,m,p,pimg,r,s,sq,t,tp,type,v,district_code
鄉村區,乙種建築用地,遊園路一段61~90號,華廈(10層含以下有電梯),,B,,11002,有,,八層/九層,,5,0,1,1,1,24.160411569213817,120.57514493815549,有,"171,402",bt_06.png,51,52.51,7TtKbKKtWtYh8GgQ9POS6deB+KZ/lu/ZDRosFKVV76w=,房地(土地+建物)+車位,900,Biz,3房2廳2衛有隔間,B24
其他,,船頭三街91~120號,公寓(5樓含以下無電梯),100.00%,B,,11002,無,,一層/--,,47,1,1,1,0,24.12050176569881,120.55342899461917,無,"584,479",bt_01.png,23,28.74,Z0k3kk479yaxPOfYoSjIz9eB+KZ/lu/ZDRosFKVV76w=,房地(土地+建物),"1,680",Biz,3房1廳1衛有隔間,B24
其他,,大德一街1~30號,透天厝,,B,,11002,無,,全/四層,,25,2,1,1,0,24.158942187783726,120.54090153043038,無,"123,593",bt_02.png,10,46.12,cDaviV9dONTv0wjYVa3DZNeB+KZ/lu/ZDRosFKVV76w=,房地(土地+建物),570,Biz,4房2廳3衛有隔間,B24
其他,,大明二街151~180號,透天厝,,B,,11002,無,,全/三層,,23,3,1,1,0,24.15472579199394,120.54128167823744,無,"152,331",bt_02.png,9,42.67,kZ0lwrEJTwQTzG9/9aDhdteB+KZ/lu/ZDRosFKVV76w=,房地(土地+建物),650,Biz,5房2廳4衛有隔間,B24
其他,,大德二街1~30號,透天厝,,B,,11002,無,,全/三層,,25,4,1,1,0,24.157878693812748,120.54124877024985,無,"164,850",bt_02.png,9,45.38,Qi/Z2Khogh0PgByHXy2JLteB+KZ/lu/ZDRosFKVV76w=,房地(土地+建物),748,Biz,4房2廳3衛有隔間,B24
其他,,華昌街9巷1~30號,透天厝,,B,,11002,無,,全/三層,,43,5,1,1,0,24.151167004171366,120.54386266033866,無,"131,517",bt_02.png,8,39.16,0fFFP8WalBqMOlc1ECnK7deB+KZ/lu/ZDRosFKVV76w=,房地(土地+建物),515,Biz,4房2廳3衛有隔間,B24
鄉村區,乙種建築用地,太平路7巷1之1~30號,華廈(10層含以下有電梯),59.27%,B,,11002,有,67.51%,三層/九層,,1,6,2,1,1,24.169754986958843,120.5741682467441,有,"241,517",bt_06.png,50,31.80,yXO2ZnPc4Dv+ufwa8uLTgteB+KZ/lu/ZDRosFKVV76w=,房地(土地+建物)+車位,768,Biz,3房2廳2衛有隔間,B24
鄉村區,乙種建築用地,遊園路二段198巷1~30號,公寓(5樓含以下無電梯),100.00%,B,,11002,無,,三層/四層,,40,7,1,1,0,24.173714052615413,120.58144559855171,無,"273,372",bt_01.png,11,7.64,fp3gXxqq79LlOKeWcZtiedeB+KZ/lu/ZDRosFKVV76w=,房地(土地+建物),208,Biz,1房1廳1衛有隔間,B24
其他,,王福街3巷51弄1~30號,透天厝,,B,,11002,無,,全/四層,,3,8,8,1,0,24.11967782414728,120.58230860999016,有,"257,425",bt_02.png,23,44.67,arM6az0oqXchLhHiXVh81deB+KZ/lu/ZDRosFKVV76w=,房地(土地+建物),"1,150",Biz,5房2廳3衛有隔間,B24
其他,,華昌街37巷1~30號,透天厝,,B,,11002,無,,全/二層,,42,9,1,1,0,24.152326952555157,120.54345902922122,無,"218,638",bt_02.png,8,22.87,gxJBu8FCDeJhvIO34YWUl9eB+KZ/lu/ZDRosFKVV76w=,房地(土地+建物),500,Biz,3房2廳1衛有隔間,B24
