AA11,AA12,a,b,bs,city,cp,e,el,es,f,fi,g,id,j,k,l,lat,lon,m,p,pimg,r,s,sq,t,tp,type,v,district_code
其他,,中正路1171~1200號,住宅大樓(11層含以上有電梯),83.28%,B,,11003,有,,九層/十二層,,27,0,1,1,0,24.070892976999545,120.69923028152392,有,"152,787",bt_05.png,19,10.80,c8wRZyLx2enENEJOPAor2bCmR18ryqxCTnCEVr9L+KE=,房地(土地+建物),165,Biz,1房1廳1衛有隔間,B26
其他,,草湖路61~90號,公寓(5樓含以下無電梯),61.30%,B,,11002,無,,十三層/十三層,,12,1,2,1,0,24.068687693607366,120.6981536884978,無,"136,902",bt_01.png,47,59.53,14wwL4M9BCtF2VxEdiYnrrCmR18ryqxCTnCEVr9L+KE=,房地(土地+建物),815,Biz,6房0廳6衛有隔間,B26
特定農業區,甲種建築用地,四德路511~540號,透天厝,,B,,11002,無,,全/四層,,4,2,4,1,0,24.060490191246846,120.66821073434058,無,"233,498",bt_02.png,22,69.29,C5m2+msdWH8ipgSohQvhILCmR18ryqxCTnCEVr9L+KE=,房地(土地+建物),"1,618",Biz,4房4廳4衛有隔間,B26
其他,,草湖路31~60號,華廈(10層含以下有電梯),65.23%,B,,11002,有,,三層/十層,,28,3,2,1,0,24.068460512460522,120.69856970402249,有,"122,542",bt_06.png,37,35.58,b97+eHDp+bQcRdwcFYrJgLCmR18ryqxCTnCEVr9L+KE=,房地(土地+建物),436,Biz,3房2廳1衛有隔間,B26
鄉村區,乙種建築用地,錦州路350巷1~30號,透天厝,,B,,11002,無,,全/二層,,40,4,1,1,0,24.078367339927546,120.70940552954488,無,"217,279",bt_02.png,10,28.76,aXEgsx0wiD3YHSK50DDCGbCmR18ryqxCTnCEVr9L+KE=,房地(土地+建物),625,Biz,4房2廳2衛有隔間,B26
鄉村區,乙種建築用地,吉峰路155之16巷1~30號,透天厝,,B,,11002,無,,全/四層,,,5,2,1,0,24.077737200939776,120.71401694394925,有,"254,129",bt_02.png,32,52.34,2Cvew295YB2VYZZPxQ1H6bCmR18ryqxCTnCEVr9L+KE=,房地(土地+建物),"1,330",Biz,4房3廳4衛有隔間,B26
鄉村區,乙種建築用地,吉峰路155之16巷31~60號,透天厝,,B,,11002,無,,全/四層,,,6,2,1,0,24.077590832148573,120.71421642014181,有,"248,145",bt_02.png,32,52.31,dAKu/BuEuC4o6Tf6VPzl5rCmR18ryqxCTnCEVr9L+KE=,房地(土地+建物),"1,298",Biz,4房3廳3衛有隔間,B26
特定農業區,甲種建築用地,新豐路91~120號,透天厝,,B,,11002,無,,全/四層,,,7,7,1,0,24.018602982537793,120.68858508945155,有,"242,869",bt_02.png,20,64.85,Y4pSf3N+Ry7l91SRPa9rDbCmR18ryqxCTnCEVr9L+KE=,房地(土地+建物),"1,575",Biz,5房1廳3衛有隔間,B26
其他,,中正路631~660號,透天厝,,B,,11002,無,,全/五層,,26,8,3,1,0,24.04755438073015,120.69328123698503,無,"111,494",bt_02.png,11,50.23,cKcuT9gzo3ry+H9g1+rlAbCmR18ryqxCTnCEVr9L+KE=,房地(土地+建物),560,Biz,7房2廳4衛有隔間,B26
其他,,中正路706巷1~30號,住宅大樓(11層含以上有電梯),67.92%,B,,11002,有,,三層/十二層,,26,9,1,1,0,24.050217173266113,120.69477368629326,有,"107,045",bt_05.png,50,43.53,KAvIM8GXxJivghmxQqxf3bCmR18ryqxCTnCEVr9L+KE=,房地(土地+建物),466,Biz,4房2廳2衛有隔間,B26
特定農業區,甲種建築用地,山腳巷1~30號,透天厝,,B,,11002,無,,全/二層,,,10,1,1,0,24.037751953505662,120.69632556894275,無,"241,990",bt_02.png,16,49.59,Eg9vLkscev1m8qQ7JwjbtLCmR18ryqxCTnCEVr9L+KE=,房地(土地+建物),"1,200",Biz,4房2廳4衛有隔間,B26
其他,,林森路421~450號,透天厝,,B,,11002,無,,全/四層,,20,11,1,1,0,24.059409185046075,120.69548108474501,無,"225,329",bt_02.png,9,51.13,fjjW8V3fdb+jTm72NTQCL7CmR18ryqxCTnCEVr9L+KE=,房地(土地+建物),"1,152",Biz,5房2廳3衛有隔間,B26
特定農業區,甲種建築用地,民生路181~210號,透天厝,,B,,11002,無,,全/二層,,45,12,1,1,0,24.074804894044057,120.71257237680817,無,"274,013",bt_02.png,8,31.75,h4AtQi93z6sYbdYsmY6I7bCmR18ryqxCTnCEVr9L+KE=,房地(土地+建物),870,Biz,5房2廳3衛有隔間,B26
鄉村區,乙種建築用地,五福路61~90號,透天厝,,B,,11002,無,,全/四層,,12,13,2,1,0,24.065050000674944,120.67407363845554,無,"116,231",bt_02.png,20,68.83,qku1TJpaPqf+uPfdZLctN7CmR18ryqxCTnCEVr9L+KE=,房地(土地+建物),800,Biz,4房2廳3衛有隔間,B26
鄉村區,乙種建築用地,吉峰西路74巷61~90號,透天厝,,B,,11001,無,,全/三層,,26,14,7,1,0,24.07953867603161,120.7104797990874,無,"175,911",bt_02.png,42,76.34,nYvXTioCO+/DS47MW9T4XLCmR18ryqxCTnCEVr9L+KE=,房地(土地+建物),"1,343",Biz,6房0廳3衛有隔間,B26
鄉村區,乙種建築用地,丁台路421~450號,透天厝,,B,,11001,無,,全/三層,,30,15,2,1,0,24.04996300555529,120.67538190054063,無,"187,379",bt_02.png,14,62.97,gA1Q2XCBw7GYzG0set0vAbCmR18ryqxCTnCEVr9L+KE=,房地(土地+建物),"1,180",Biz,15房0廳15衛有隔間,B26
其他,,中正路511~540號,華廈(10層含以下有電梯),60.01%,B,,11001,有,,四層/十層,,7,16,1,1,0,24.045069916163172,120.69205693919552,有,"176,102",bt_06.png,38,18.17,iNNZ4TJEx1xnejEKIfyTOrCmR18ryqxCTnCEVr9L+KE=,房地(土地+建物),320,Biz,2房0廳2衛有隔間,B26
鄉村區,乙種建築用地,柳豐二街1~30號,華廈(10層含以下有電梯),,B,,11001,有,,四層/六層,,9,17,1,1,0,24.043459904122003,120.68801391508563,有,"155,795",bt_06.png,29,10.27,1tQ2mG0j8ckKPXMP4A8acbCmR18ryqxCTnCEVr9L+KE=,房地(土地+建物),160,Biz,1房0廳1衛有隔間,B26
鄉村區,乙種建築用地,民生路271~300號,公寓(5樓含以下無電梯),89.93%,B,,11001,無,,一層/五層,,28,18,1,1,0,24.075298065149052,120.71726576190918,無,"101,736",bt_01.png,25,30.47,ZidCw40R7BD1KKiN4IUgRLCmR18ryqxCTnCEVr9L+KE=,房地(土地+建物),310,Biz,3房2廳2衛有隔間,B26
鄉村區,乙種建築用地,民生路296巷67弄1~30號,透天厝,,B,,11001,無,,全/二層,,41,19,1,1,0,24.076055300438792,120.71850708781712,無,"53,464",bt_02.png,11,24.69,OUKiGl5A4cVkSMyBRbMlzrCmR18ryqxCTnCEVr9L+KE=,房地(土地+建物),132,Biz,3房3廳2衛有隔間,B26
其他,,德維街3巷1~30號,透天厝,,B,,11001,無,,全/五層,,3,20,2,1,0,24.068464741234735,120.70187635661742,無,"214,641",bt_02.png,16,68.95,PkEzI8DsaY0/i5pz3dPuHbCmR18ryqxCTnCEVr9L+KE=,房地(土地+建物),"1,480",Biz,4房3廳4衛有隔間,B26
其他,,中正路871~900號,透天厝,,B,,11001,無,,全/三層,,55,21,2,1,0,24.064379654357946,120.69855907998749,無,"394,648",bt_02.png,10,58.28,KTzjwmUldODiK2jyQkxehLCmR18ryqxCTnCEVr9L+KE=,房地(土地+建物),"2,300",Biz,,B26
其他,,育群路111巷1~30號,華廈(10層含以下有電梯),53.95%,B,,11001,有,,五層/七層,,28,22,2,1,1,24.06164048796777,120.69805659982894,有,"133,504",bt_06.png,52,41.20,pbsrV0XyQB6UN6KMT++IVbCmR18ryqxCTnCEVr9L+KE=,房地(土地+建物)+車位,550,Biz,3房2廳1衛有隔間,B26
其他,,成功路301巷1~30號,透天厝,,B,,11001,無,,全/四層,,16,23,2,1,0,24.058170958290127,120.69963399091772,無,"122,615",bt_02.png,14,28.87,C1JixOgKlC5VhO3oa4wLK7CmR18ryqxCTnCEVr9L+KE=,房地(土地+建物),354,Biz,4房2廳3衛有隔間,B26
鄉村區,乙種建築用地,吉峰路155之16巷31~60號,透天厝,,B,,11001,無,,全/四層,,,24,2,1,1,24.077590832148573,120.71421642014181,有,"246,628",bt_02.png,32,52.31,whohhF+En/uFlI4BRNkIS7CmR18ryqxCTnCEVr9L+KE=,房地(土地+建物)+車位,"1,290",Biz,4房3廳3衛有隔間,B26
鄉村區,乙種建築用地,丁台路389巷1~30號,透天厝,,B,,11001,無,,全/四層,,19,25,3,1,0,24.051970643608055,120.67544243629263,無,"96,962",bt_02.png,49,94.88,w4brpuLtrQzggKRDFHExL7CmR18ryqxCTnCEVr9L+KE=,房地(土地+建物),920,Biz,5房2廳3衛有隔間,B26
鄉村區,乙種建築用地,四德路391~420號,華廈(10層含以下有電梯),53.93%,B,,11001,有,,七層/七層,,4,26,1,1,1,24.064721656581526,120.67785304405281,有,"214,694",bt_06.png,33,39.59,tv3JRN5tP2v7LL/Uy0dhbLCmR18ryqxCTnCEVr9L+KE=,房地(土地+建物)+車位,850,Biz,3房2廳2衛有隔間,B26
其他,,中正路1171~1200號,住宅大樓(11層含以上有電梯),75.47%,B,,11001,有,,九層/十二層,,27,27,1,1,0,24.070892976999545,120.69923028152392,有,"136,916",bt_05.png,19,17.16,YMSHBxuwWnfYlfN+IkMt47CmR18ryqxCTnCEVr9L+KE=,房地(土地+建物),235,Biz,2房0廳2衛有隔間,B26
鄉村區,乙種建築用地,五福路211~240號,透天厝,,B,,11001,無,,全/二層,,40,28,1,1,0,24.07154879968349,120.6658584817286,無,"215,193",bt_02.png,9,29.28,z5MCtWaaFEOX1Bcm+Wy2gLCmR18ryqxCTnCEVr9L+KE=,房地(土地+建物),630,Biz,2房1廳2衛有隔間,B26
其他,,中正路646巷2弄31~60號,透天厝,,B,,11001,無,,全/四層,,25,29,3,1,0,24.048028253508395,120.69400456102858,無,"157,190",bt_02.png,31,39.76,uKJIko/uLGWghaCKdj/tWLCmR18ryqxCTnCEVr9L+KE=,房地(土地+建物),625,Biz,4房3廳3衛有隔間,B26
