AA11,AA12,a,b,bs,city,cp,e,el,es,f,fi,g,id,j,k,l,lat,lon,m,p,pimg,r,s,sq,t,tp,type,v,district_code
工業區,丁種建築用地,青一路2巷1~30號,透天厝,,B,,11003,無,,全/二層,,31,0,1,1,0,24.40474688932215,120.64255437831211,無,"224,688",bt_02.png,9,24.48,2hQWWNATz6Q9mMSRMqDTRLkZR51MulJj0p9hfmlP6Bg=,房地(土地+建物),550,Biz,4房1廳3衛有隔間,B11
特定農業區,甲種建築用地,如意路35巷1~30號,透天厝,,B,,11003,無,,全/四層,,,1,2,1,0,24.41756318769388,120.62197831605474,無,"160,324",bt_02.png,9,48.65,fwoi9j+xlcnqZ0rC86vjA7kZR51MulJj0p9hfmlP6Bg=,房地(土地+建物),780,Biz,4房2廳3衛有隔間,B11
工業區,丁種建築用地,青一路12巷31~60號,透天厝,,B,,11003,無,,全/二層,,29,2,1,1,0,24.407807625587573,120.64481948151463,無,"61,696",bt_02.png,10,17.83,kaB3Nfdhzt6ntoS1jcCeQbkZR51MulJj0p9hfmlP6Bg=,房地(土地+建物),110,Biz,3房2廳2衛有隔間,B11
其他,,經國路961~990號,華廈(10層含以下有電梯),68.36%,B,,11003,有,,四層/七層,,28,3,1,1,0,24.356370475032104,120.62212480624744,有,"70,152",bt_06.png,24,39.63,rqtlX1dKP+FIzWEEEsJi1rkZR51MulJj0p9hfmlP6Bg=,房地(土地+建物),278,Biz,3房2廳2衛有隔間,B11
其他,,五福街151~180號,華廈(10層含以下有電梯),74.85%,B,,11002,有,,一層/七層,,28,4,4,1,1,24.348962826625836,120.6214889453544,有,"139,937",bt_06.png,53,37.16,AjRANM1fw2xdqH6Pkmy/QbkZR51MulJj0p9hfmlP6Bg=,房地(土地+建物)+車位,520,Biz,3房1廳2衛有隔間,B11
其他,,雁門路181~210號,華廈(10層含以下有電梯),74.14%,B,,11002,有,,七層/八層,,26,5,1,1,0,24.350957483880915,120.62444856239846,有,"114,159",bt_06.png,28,20.67,6amBgj/M5nc43m3I2rqaWLkZR51MulJj0p9hfmlP6Bg=,房地(土地+建物),236,Biz,2房1廳1衛有隔間,B11
其他,,水源路151~180號,透天厝,,B,,11002,無,,全/三層,,40,6,1,1,0,24.33991766130985,120.62535770001514,無,"148,807",bt_02.png,10,63.71,m3dQq8HhiyhedIyqyUwa9LkZR51MulJj0p9hfmlP6Bg=,房地(土地+建物),948,Biz,4房3廳3衛有隔間,B11
其他,,中山路一段991~1020號,華廈(10層含以下有電梯),55.36%,B,,11002,有,,七層/七層,,27,7,1,1,1,24.346868430977786,120.62727578410923,有,"118,046",bt_06.png,52,41.51,FD67tCIN+8hV0LE+uzd6m7kZR51MulJj0p9hfmlP6Bg=,房地(土地+建物)+車位,490,Biz,3房2廳2衛有隔間,B11
其他,,水源路仁安巷1~30號,華廈(10層含以下有電梯),51.53%,B,,11002,有,,二層/八層,,22,8,1,1,1,24.342710822014773,120.62227276682385,有,"127,398",bt_06.png,32,33.60,QnW1fUERBf+Blwdw30fr9LkZR51MulJj0p9hfmlP6Bg=,房地(土地+建物)+車位,428,Biz,2房1廳1衛有隔間,B11
其他,,黎明路1~30號,華廈(10層含以下有電梯),70.86%,B,,11002,有,,一層/五層,,1,9,2,1,0,24.388875399838398,120.65408227337396,有,"218,060",bt_06.png,20,16.05,qzStkCnkOOomzJEFUlh7q7kZR51MulJj0p9hfmlP6Bg=,房地(土地+建物),350,Biz,3房2廳3衛有隔間,B11
