AA11,AA12,a,b,bs,city,cp,e,el,es,f,fi,g,id,j,k,l,lat,lon,m,p,pimg,r,s,sq,t,tp,type,v,district_code
其他,,中華路211~240號,住宅大樓(11層含以上有電梯),45.76%,B,"1,200,000",11003,有,58.81%,四層/十一層,,1,0,1,1,1,24.265968988739512,120.56452178148996,有,"159,686",bt_05.png,42,45.87,+clOSkOs8EIafKmrQN3qnkWj02ij4Z0UYL+ZKcAFsOs=,房地(土地+建物)+車位,690,Biz,3房1廳2衛有隔間,B12
其他,,港都五路1~30號,住宅大樓(11層含以上有電梯),,B,,11003,有,,六層/十五層,,,1,1,1,1,24.268929430453277,120.53399987536238,有,"133,421",bt_05.png,53,37.33,RXXSkFdoZljma05N0wSfPkWj02ij4Z0UYL+ZKcAFsOs=,房地(土地+建物)+車位,498,Biz,2房2廳1衛有隔間,B12
其他,,仁愛路83巷31~60號,透天厝,,B,,11003,無,,全/四層,,,2,1,1,0,24.26039984925756,120.55178393446323,有,"167,418",bt_02.png,7,55.67,Kkga3w03ZFS/RIC60/CdSUWj02ij4Z0UYL+ZKcAFsOs=,房地(土地+建物),932,Biz,3房2廳4衛有隔間,B12
其他,,仁愛路83巷31~60號,透天厝,,B,,11003,無,,全/三層,,,3,1,1,0,24.26050558651906,120.55150977413041,有,"209,547",bt_02.png,9,46.86,qmCvSer5An7bHkDqjpaCJ0Wj02ij4Z0UYL+ZKcAFsOs=,房地(土地+建物),982,Biz,3房2廳3衛有隔間,B12
其他,,港新五路211~240號,住宅大樓(11層含以上有電梯),46.81%,B,"1,000,000",11003,有,62.19%,七層/十五層,,4,4,1,1,1,24.269021366203248,120.5382371537408,有,"140,664",bt_05.png,70,42.03,aADODXoRFTXXQKt5kTRq6EWj02ij4Z0UYL+ZKcAFsOs=,房地(土地+建物)+車位,545,Biz,2房2廳1衛有隔間,B12
其他,,中央北路1~30號,透天厝,,B,,11003,無,,全/四層,,,5,4,1,0,24.296894805860898,120.5899579801848,無,"162,188",bt_02.png,25,52.90,QM6F6xrWNcOQoGWINNBxQEWj02ij4Z0UYL+ZKcAFsOs=,房地(土地+建物),858,Biz,4房1廳3衛有隔間,B12
其他,,仁愛路83巷61~90號,透天厝,,B,,11003,有,,全/四層,,,6,1,1,0,24.260481006144463,120.5517442557392,有,"158,473",bt_02.png,10,80.01,GupE1iL0H+crU02254BEjEWj02ij4Z0UYL+ZKcAFsOs=,房地(土地+建物),"1,268",Biz,4房2廳5衛有隔間,B12
其他,,仁愛路83巷31~60號,透天厝,,B,,11003,無,,全/三層,,,7,1,1,0,24.260467866214906,120.55158081597949,有,"200,456",bt_02.png,8,46.19,hiyatPtZHH4NqvX0+JQSz0Wj02ij4Z0UYL+ZKcAFsOs=,房地(土地+建物),926,Biz,4房2廳3衛有隔間,B12
其他,,港新五路211~240號,住宅大樓(11層含以上有電梯),,B,,11003,有,,十一層/十五層,,3,8,1,1,1,24.269021366203248,120.5382371537408,有,"132,241",bt_05.png,70,39.55,2PAMH5vwcKNpUT6UgKpJCUWj02ij4Z0UYL+ZKcAFsOs=,房地(土地+建物)+車位,523,Biz,2房2廳1衛有隔間,B12
其他,,仁愛路83巷31~60號,透天厝,,B,,11003,無,,全/三層,,,9,1,1,0,24.260440954390404,120.55164000162982,有,"194,995",bt_02.png,8,46.05,IB0LxGlQFOxMb240TGHf6UWj02ij4Z0UYL+ZKcAFsOs=,房地(土地+建物),898,Biz,3房2廳4衛有隔間,B12
其他,,中華路211~240號,住宅大樓(11層含以上有電梯),46.75%,B,"1,200,000",11003,有,59.69%,三層/十一層,,1,10,1,1,1,24.265968988739512,120.56452178148996,有,"159,825",bt_05.png,42,46.97,awEISOyrL2lt+TSY3qm5zkWj02ij4Z0UYL+ZKcAFsOs=,房地(土地+建物)+車位,708,Biz,3房1廳2衛有隔間,B12
其他,,公正路181~210號,透天厝,,B,,11003,無,,全/三層,,26,11,1,1,0,24.28146074422474,120.55536052181165,無,"290,955",bt_02.png,8,30.59,3RosnTZ5HaMjZhNaZ+MRoUWj02ij4Z0UYL+ZKcAFsOs=,房地(土地+建物),890,Biz,4房2廳3衛有隔間,B12
其他,,仁愛路83巷31~60號,透天厝,,B,,11003,無,,全/四層,,,12,1,1,0,24.26048617073094,120.55165954013762,有,"167,663",bt_02.png,8,56.84,9a1aaGqRmT0M7w/KhGzqdEWj02ij4Z0UYL+ZKcAFsOs=,房地(土地+建物),953,Biz,3房2廳4衛有隔間,B12
其他,,仁愛路83巷31~60號,透天厝,,B,,11003,無,,全/四層,,,13,1,1,0,24.260414954427844,120.55169819920374,有,"172,063",bt_02.png,8,56.84,uIPa+R2MtaL0QMrK55g3ikWj02ij4Z0UYL+ZKcAFsOs=,房地(土地+建物),978,Biz,3房2廳4衛有隔間,B12
其他,,海濱路211~240號,透天厝,,B,,11002,無,,全/二層,,40,14,1,1,0,24.280332951092586,120.56155916441965,無,"99,983",bt_02.png,9,38.01,IjqR9TgRKKCU4ndRjpox3UWj02ij4Z0UYL+ZKcAFsOs=,房地(土地+建物),380,Biz,3房2廳2衛有隔間,B12
