AA11,AA12,a,b,bs,city,cp,e,el,es,f,fi,g,id,j,k,l,lat,lon,m,p,pimg,r,s,sq,t,tp,type,v,district_code
其他,,四維東路91~120號,華廈(10層含以下有電梯),53.53%,B,,11003,有,,三層/九層,,12,0,1,2,0,24.260595324412556,120.53908994753988,有,"153,722",bt_06.png,27,25.89,qpnIjP9IH/mx+0pXvj97lRj+GNQPNgC5xHN3PSE3Uv8=,房地(土地+建物),398,Biz,2房0廳2衛有隔間,B14
其他,,中央路一段151~180號,透天厝,,B,,11002,無,,全/四層,,1,1,1,1,0,24.22831626445485,120.53006859434106,有,"156,317",bt_02.png,9,57.57,Tz718Sq39ucGain4G5X3Txj+GNQPNgC5xHN3PSE3Uv8=,房地(土地+建物),900,Biz,4房2廳3衛有隔間,B14
其他,,臺灣大道八段938巷61~90號,華廈(10層含以下有電梯),45.84%,B,"1,000,000",11002,有,61.49%,二層/八層,,,2,1,1,1,24.250201155728416,120.54047310619221,有,"188,529",bt_06.png,38,38.06,ogCwJVAE1rACxwvjPRryyBj+GNQPNgC5xHN3PSE3Uv8=,房地(土地+建物)+車位,635,Biz,2房1廳1衛有隔間,B14
其他,,民和東街151~180號,透天厝,,B,,11002,無,,全/四層,,1,3,1,1,0,24.25657299687876,120.55332717667112,無,"196,684",bt_02.png,12,66.10,47lZPLWCnCC9xIG9PDLt4Rj+GNQPNgC5xHN3PSE3Uv8=,房地(土地+建物),"1,300",Biz,5房3廳4衛有隔間,B14
其他,,中央路二段391~420號,透天厝,,B,,11002,無,,全/五層,,1,4,4,1,0,24.260356761136165,120.54231619981171,有,"187,722",bt_02.png,37,76.60,xT/AA6TET4W87mMUJZFYKxj+GNQPNgC5xHN3PSE3Uv8=,房地(土地+建物),"1,438",Biz,4房3廳6衛有隔間,B14
其他,,永興路一段588巷1~30號,透天厝,,B,,11002,無,,全/四層,,1,5,5,1,0,24.22537769371464,120.53594207652046,無,"393,838",bt_02.png,30,60.94,VbD4/BbtGBt55Fc1AxW0Chj+GNQPNgC5xHN3PSE3Uv8=,房地(土地+建物),"2,400",Biz,4房3廳3衛有隔間,B14
其他,,中央路二段259巷1~30號,透天厝,,B,,11002,無,,全/二層,,37,6,1,1,0,24.25446759647208,120.53964235543286,無,"44,536",bt_02.png,9,35.17,KYUE79FJ1bwf+ebYCtkpFxj+GNQPNgC5xHN3PSE3Uv8=,房地(土地+建物),156,Biz,5房1廳3衛有隔間,B14
其他,,中央路二段241~270號,透天厝,,B,,11002,無,,全/三層,,37,7,2,1,0,24.254278567953612,120.54043285010246,無,"69,332",bt_02.png,11,72.12,3NmrVHFfQ16wmujWF4IAKhj+GNQPNgC5xHN3PSE3Uv8=,房地(土地+建物),500,Biz,4房3廳3衛有隔間,B14
其他,,仁美街169巷1~30號,透天厝,,B,,11002,無,,全/四層,,1,8,1,1,0,24.25628569389932,120.53723117242433,無,"198,089",bt_02.png,13,108.54,dadwXD7WbC16zItikTMY6Rj+GNQPNgC5xHN3PSE3Uv8=,房地(土地+建物),"2,150",Biz,6房1廳6衛有隔間,B14
其他,,四維中路241~270號,住宅大樓(11層含以上有電梯),,B,,11002,有,,九層/十五層,,2,9,1,1,1,24.26144209851215,120.53488941868036,有,"156,179",bt_05.png,45,34.58,Nu+IStoX2kuJiXTlzemMYhj+GNQPNgC5xHN3PSE3Uv8=,房地(土地+建物)+車位,540,Biz,2房2廳1衛有隔間,B14
