AA11,AA12,a,b,bs,city,cp,e,el,es,f,fi,g,id,j,k,l,lat,lon,m,p,pimg,r,s,sq,t,tp,type,v,district_code
其他,,福潭路313巷31~60號,華廈(10層含以下有電梯),64.42%,B,,11003,有,,四層/十層,,25,0,1,1,0,24.20906522625786,120.70947613116125,有,"158,436",bt_06.png,82,35.03,GvmmwIaVx/UQU///FCLQ1qBE28rbUucoXAnxxAdh21c=,房地(土地+建物),555,Biz,3房2廳2衛有隔間,B17
其他,,大豐路二段61~90號,透天厝,,B,,11003,無,,全/四層,,13,1,2,1,0,24.217872275591052,120.69130768309498,無,"222,324",bt_02.png,13,58.47,xUgqGkytPeBzebVamEZFNqBE28rbUucoXAnxxAdh21c=,房地(土地+建物),"1,300",Biz,6房2廳4衛有隔間,B17
其他,,福潭路830巷1~30號,華廈(10層含以下有電梯),64.55%,B,,11003,有,,三層/六層,,27,2,1,1,1,24.216271812246568,120.70847181814419,有,"156,238",bt_06.png,35,41.60,PlumORKgU3nfBrB590o4y6BE28rbUucoXAnxxAdh21c=,房地(土地+建物)+車位,650,Biz,3房2廳2衛有隔間,B17
其他,,雅豐街132巷1~30號,透天厝,,B,,11003,無,,全/三層,,31,3,1,1,0,24.219136264479392,120.69416622285776,無,"292,783",bt_02.png,10,36.99,EEd4jevQ9MYLtS0bUddS+KBE28rbUucoXAnxxAdh21c=,房地(土地+建物),"1,083",Biz,4房2廳2衛有隔間,B17
其他,,福潭路550巷31~60號,華廈(10層含以下有電梯),65.91%,B,,11003,有,,四層/六層,,28,4,1,1,0,24.2120166953544,120.71127598468186,有,"160,215",bt_06.png,40,29.96,ytkJuxbBEY7bt4SZMtafeqBE28rbUucoXAnxxAdh21c=,房地(土地+建物),480,Biz,2房2廳2衛有隔間,B17
其他,,圓通南路72巷1~30號,華廈(10層含以下有電梯),66.78%,B,,11003,有,,"一層,地下一層/六層",,26,5,1,1,1,24.20718380137344,120.70867511117275,有,"102,502",bt_06.png,22,89.75,q+2HGn3ZxnJcWqj2aXZzM6BE28rbUucoXAnxxAdh21c=,房地(土地+建物)+車位,920,Biz,6房2廳4衛有隔間,B17
其他,,復興路一段31~60號,住宅大樓(11層含以上有電梯),79.43%,B,,11003,有,,"十二層,見其他登記事項/十二層",,28,6,1,1,1,24.202784218815815,120.70581699661835,有,"161,144",bt_05.png,44,42.82,RG98J/JpyE7YTg46vrrH/6BE28rbUucoXAnxxAdh21c=,房地(土地+建物)+車位,690,Biz,3房2廳2衛有隔間,B17
其他,,大德一路二段37巷1~30號,透天厝,,B,,11003,無,,全/四層,,26,7,2,1,0,24.204833478088357,120.68029912841638,無,"220,820",bt_02.png,10,53.71,/H4g8Q2q5A8vK1a/0EPnI6BE28rbUucoXAnxxAdh21c=,房地(土地+建物),"1,186",Biz,4房3廳3衛有隔間,B17
其他,,弘智街39巷31~60號,住宅大樓(11層含以上有電梯),47.63%,B,"1,350,000",11003,有,60.56%,二層/十二層,,1,8,1,1,1,24.226583094058096,120.70700786884156,有,"238,760",bt_05.png,44,43.83,lFYsvt2Q0Z2kyNO3Xz+t+qBE28rbUucoXAnxxAdh21c=,房地(土地+建物)+車位,958,Biz,3房2廳2衛有隔間,B17
其他,,頭張路一段86巷1~30號,住宅大樓(11層含以上有電梯),,B,,11003,有,,五層/十二層,,4,9,1,1,1,24.194815247806364,120.70015896457991,有,"239,527",bt_05.png,50,39.70,KIHpWc6gjE+nsj85QINcHaBE28rbUucoXAnxxAdh21c=,房地(土地+建物)+車位,951,Biz,3房2廳1衛有隔間,B17
其他,,頭張路一段117巷17弄1~30號,住宅大樓(11層含以上有電梯),67.97%,B,,11003,有,,十二層/十三層,,28,10,1,1,0,24.193560909030555,120.6993817992645,有,"151,712",bt_05.png,49,6.59,b1/7xhejTHq4IfgVKtDnIqBE28rbUucoXAnxxAdh21c=,房地(土地+建物),100,Biz,1房1廳1衛有隔間,B17
其他,,頭張路一段86巷1~30號,住宅大樓(11層含以上有電梯),,B,,11002,有,,六層/十二層,,4,11,1,1,1,24.194815247806364,120.70015896457991,有,"219,815",bt_05.png,50,40.94,bHgw+7wz1HKH0Rn1OhaLG6BE28rbUucoXAnxxAdh21c=,房地(土地+建物)+車位,900,Biz,2房2廳1衛有隔間,B17
其他,,興華一路372巷31~60號,華廈(10層含以下有電梯),67.51%,B,,11002,有,,八層/八層,,26,12,2,1,1,24.214822743306556,120.70178090854841,有,"149,008",bt_06.png,33,36.24,kXmoWBam/JcHIo81YI9SNaBE28rbUucoXAnxxAdh21c=,房地(土地+建物)+車位,540,Biz,3房2廳2衛有隔間,B17
其他,,雅豐街160巷1~30號,透天厝,,B,,11002,無,,全/三層,,8,13,1,1,0,24.219941288030377,120.69433049326751,無,"366,823",bt_02.png,12,57.25,j0/IyCswCWXbyY1xoHnukqBE28rbUucoXAnxxAdh21c=,房地(土地+建物),"2,100",Biz,5房3廳3衛有隔間,B17
其他,,中山路二段137巷1~30號,住宅大樓(11層含以上有電梯),69.28%,B,,11002,有,,十六層/十六層,,27,14,1,1,1,24.20775265320437,120.70468823021919,有,"142,079",bt_05.png,61,64.75,iqDhFrL03sQN9MB3dPX/gqBE28rbUucoXAnxxAdh21c=,房地(土地+建物)+車位,920,Biz,4房2廳2衛有隔間,B17
其他,,得才街31~60號,住宅大樓(11層含以上有電梯),67.36%,B,,11002,有,,六層/十三層,,28,15,1,1,0,24.193560909030555,120.6993817992645,有,"183,045",bt_05.png,49,25.46,d1vuf97cra82PUbvB/S5raBE28rbUucoXAnxxAdh21c=,房地(土地+建物),466,Biz,3房2廳1衛有隔間,B17
其他,,得天街69巷1~30號,華廈(10層含以下有電梯),65.89%,B,,11002,有,,五層/六層,,24,16,1,1,0,24.196806041133733,120.7005342784858,有,"173,412",bt_06.png,39,34.60,j/z+bSlX+qju+Ber4LpJP6BE28rbUucoXAnxxAdh21c=,房地(土地+建物),600,Biz,3房1廳2衛有隔間,B17
