AA11,AA12,a,b,bs,city,cp,e,el,es,f,fi,g,id,j,k,l,lat,lon,m,p,pimg,r,s,sq,t,tp,type,v,district_code
其他,,中和街四段31~60號,透天厝,,B,,11003,有,,全/四層,,5,0,4,1,0,24.240237703828623,120.80689935579068,無,"179,640",bt_02.png,19,100.20,WGZYK/Ww/6EjNHLqGurQWqQxEwWezBSRXUQQoea5HPc=,房地(土地+建物),"1,800",Biz,4房2廳5衛有隔間,B19
鄉村區,乙種建築用地,興義街73巷1~30號,透天厝,,B,,11002,無,,全/四層,,18,1,1,1,0,24.19152948879068,120.81337451999232,無,"88,539",bt_02.png,11,81.09,t0uAbZHSo6d/Leu5wANWz6QxEwWezBSRXUQQoea5HPc=,房地(土地+建物),718,Biz,7房1廳7衛有隔間,B19
山坡地保育區,農牧用地,井新街121~150號,透天厝,,B,,11002,無,,全/三層,,6,2,6,1,0,24.212331769129968,120.77835451233072,有,"239,256",bt_02.png,96,98.64,Zx4ZL8buKllc9x+mRT4+w6QxEwWezBSRXUQQoea5HPc=,房地(土地+建物),"2,360",Biz,3房1廳4衛有隔間,B19
其他,,中和街四段207巷1弄31~60號,透天厝,,B,,11002,無,,全/三層,,3,3,1,1,0,24.24370119743791,120.80901831512223,有,"176,850",bt_02.png,14,64.24,gZhlk6pSI2NPp4j+DFfcrKQxEwWezBSRXUQQoea5HPc=,房地(土地+建物),"1,136",Biz,5房2廳5衛有隔間,B19
鄉村區,乙種建築用地,興義街70巷1~30號,透天厝,,B,,11002,無,,全/三層,,26,4,1,1,0,24.191992666601493,120.81180371813899,無,"74,152",bt_02.png,9,43.15,hjj1V/Hjz4qiSafz356SNaQxEwWezBSRXUQQoea5HPc=,房地(土地+建物),320,Biz,3房2廳3衛有隔間,B19
其他,,中和街三段91~120號,公寓(5樓含以下無電梯),59.99%,B,,11001,無,,"一層,二層,騎樓/四層",0,23,5,1,1,0,24.239123981554382,120.80693402406052,無,"84,076",bt_01.png,48,40.33,PoehWOAgUSph5nRMAWrxZKQxEwWezBSRXUQQoea5HPc=,房地(土地+建物),339,Biz,,B19
其他,,興安路1~30號,透天厝,,B,,11001,無,,全/三層,,27,6,1,1,0,24.240358236560247,120.80761555477237,無,"274,450",bt_02.png,10,51.59,mWSmQ4V5PV+p1N5ShtiS4KQxEwWezBSRXUQQoea5HPc=,房地(土地+建物),"1,416",Biz,4房2廳3衛有隔間,B19
鄉村區,乙種建築用地,東山街61~90號,透天厝,,B,,11001,無,,全/二層,,41,7,1,1,0,24.217391275392714,120.79574600038922,無,"19,967",bt_02.png,9,27.22,xuW9GVdLIOMW/wN+ukUNUKQxEwWezBSRXUQQoea5HPc=,房地(土地+建物),54,Biz,4房2廳2衛有隔間,B19
其他,,興安路121巷1弄1~30號,透天厝,,B,,11001,無,,全/三層,,6,8,3,1,0,24.243367044687478,120.80961054370671,無,"181,729",bt_02.png,29,54.48,bfrn9OxZdFSNtSLr4gtltaQxEwWezBSRXUQQoea5HPc=,房地(土地+建物),990,Biz,3房2廳3衛有隔間,B19
山坡地保育區,農牧用地,井新街151~180號,透天厝,,B,,11001,無,,全/三層,0,6,9,6,1,0,24.21222075055207,120.77775612935291,有,"273,845",bt_02.png,75,105.90,mzE6vsmgj1AoCO/Vi3q3qKQxEwWezBSRXUQQoea5HPc=,房地(土地+建物),"2,900",Biz,3房1廳4衛有隔間,B19
其他,,中和街四段207巷1~30號,透天厝,,B,,10912,無,,全/三層,,40,10,1,1,0,24.24431552348306,120.80929312710829,無,"136,040",bt_02.png,11,55.13,2yZHP9NbKmxjC5NuabcP2aQxEwWezBSRXUQQoea5HPc=,房地(土地+建物),750,Biz,5房3廳3衛有隔間,B19
,,中和街三段91~120號,公寓(5樓含以下無電梯),61.55%,B,,10912,無,68.17%,"一層,二層,騎樓/四層",0,23,11,1,1,1,24.239123981554382,120.80693402406052,有,"85,058",bt_01.png,48,41.97,b3jwQAdv3W4afcFp9L5LSaQxEwWezBSRXUQQoea5HPc=,房地(土地+建物)+車位,357,Biz,2房1廳2衛有隔間,B19
鄉村區,乙種建築用地,中和街一段33巷1~30號,透天厝,,B,,10912,無,,全/四層,-1,6,12,2,1,0,24.220172767688815,120.79342391020943,有,"144,985",bt_02.png,23,68.97,EGpVh9zWc/OZ1cA3u5epBaQxEwWezBSRXUQQoea5HPc=,房地(土地+建物),"1,000",Biz,4房2廳3衛有隔間,B19
其他,,中和街五段61~90號,透天厝,,B,,10911,有,,全/二層,-1,33,13,5,3,0,24.25221005754645,120.80798623679847,無,"96,076",bt_02.png,52,970.94,2ruNfE3adrzJ7k4hIhf7Y6QxEwWezBSRXUQQoea5HPc=,房地(土地+建物),"9,328",Biz,8房2廳6衛有隔間,B19
其他,,中和街三段91~120號,公寓(5樓含以下無電梯),61.66%,B,,10911,無,,"一層,二層,騎樓/四層",0,23,14,1,1,1,24.239123981554382,120.80693402406052,無,"92,757",bt_01.png,48,43.33,o7CLglJKEKkvlasWSeUyRaQxEwWezBSRXUQQoea5HPc=,房地(土地+建物)+車位,401,Biz,2房2廳2衛有隔間,B19
其他,,興社街三段1~30號,透天厝,,B,,10911,無,,全/二層,-1,,15,3,1,0,24.238721124707222,120.81040177262034,無,"496,717",bt_02.png,37,30.60,1+fD+II8c2jpVUVRaCvLIaQxEwWezBSRXUQQoea5HPc=,房地(土地+建物),"1,520",Biz,3房2廳2衛有隔間,B19
山坡地保育區,農牧用地,中興嶺街二段31~60號,透天厝,,B,,10911,無,,全/三層,-1,36,16,2,1,0,24.21448138519385,120.78350719556492,無,"334,440",bt_02.png,72,52.33,XnAKEzCaGcrOgXPyjrj6zqQxEwWezBSRXUQQoea5HPc=,房地(土地+建物),"1,750",Biz,4房3廳3衛有隔間,B19
其他,,中和街三段91~120號,公寓(5樓含以下無電梯),59.99%,B,,10911,無,,"一層,二層,騎樓/四層",0,23,17,1,1,1,24.239123981554382,120.80693402406052,無,"88,985",bt_01.png,48,40.33,wzsRBh5c2pXpnT3OH0ZD7aQxEwWezBSRXUQQoea5HPc=,房地(土地+建物)+車位,358,Biz,2房2廳2衛有隔間,B19
一般農業區,甲種建築用地,協興街1~30號,透天厝,,B,,10911,無,,全/二層,-1,41,18,1,1,0,24.202753769561404,120.81772401845737,無,"77,345",bt_02.png,10,38.79,PKkCcSlP2rCOB9a3l/zHXKQxEwWezBSRXUQQoea5HPc=,房地(土地+建物),300,Biz,4房1廳2衛有隔間,B19
其他,,東新路三段31~60號,透天厝,,B,,10910,有,,全/四層,-1,6,19,1,1,0,24.246377332492553,120.81006565242504,無,"209,273",bt_02.png,12,81.23,WgsPS+FoqJP1HGCHW46owaQxEwWezBSRXUQQoea5HPc=,房地(土地+建物),"1,700",Biz,5房2廳3衛有隔間,B19
鄉村區,乙種建築用地,中和街二段383巷33弄1~30號,透天厝,,B,,10910,無,,全/四層,0,3,20,3,1,0,24.228430437195993,120.8001400002654,無,"174,704",bt_02.png,28,58.96,UMSU7Gtsu7N685XZEfY90qQxEwWezBSRXUQQoea5HPc=,房地(土地+建物),"1,030",Biz,5房2廳5衛有隔間,B19
