AA11,AA12,a,b,bs,city,cp,e,el,es,f,fi,g,id,j,k,l,lat,lon,m,p,pimg,r,s,sq,t,tp,type,v,district_code
特定農業區,甲種建築用地,南海路91~120號,透天厝,,B,,10912,無,,全/二層,-1,35,0,1,1,0,24.354650704548384,120.57276152627298,無,"70,020",bt_02.png,12,24.99,FP8Z1lPCQhkTE3KIsV36KrfBzSewkXJDY2E8j6ItdLw=,房地(土地+建物),175,Biz,4房2廳2衛有隔間,B22
鄉村區,乙種建築用地,南海路31~60號,透天厝,,B,,10912,無,,全/二層,-1,30,1,1,1,0,24.34966878079432,120.57572197206699,無,"136,086",bt_02.png,11,36.74,G1DnJA+AO0U44C0B23drJLfBzSewkXJDY2E8j6ItdLw=,房地(土地+建物),500,Biz,4房3廳2衛有隔間,B22
特定農業區,甲種建築用地,中海路72巷1~30號,透天厝,,B,,10912,無,,全/三層,-1,24,2,1,1,0,24.355957112773357,120.57801962202225,無,"88,671",bt_02.png,11,54.13,Z3GHbl5NNH4b2kSsggRarrfBzSewkXJDY2E8j6ItdLw=,房地(土地+建物),480,Biz,4房2廳3衛有隔間,B22
其他,,福東一路31~60號,透天厝,,B,,10911,無,,全/二層,-1,31,3,2,1,0,24.33812692314658,120.59071837717617,無,"163,329",bt_02.png,11,36.96,Bm081aXEn7Inbs3aULPOw7fBzSewkXJDY2E8j6ItdLw=,房地(土地+建物),603,Biz,3房2廳2衛有隔間,B22
特定農業區,甲種建築用地,松九街115巷1~30號,透天厝,,B,,10910,無,,全/三層,-1,4,4,3,1,0,24.364369623444336,120.60541723695792,無,"151,808",bt_02.png,16,52.04,eFTmsyX/AH7vegNF6ah7YLfBzSewkXJDY2E8j6ItdLw=,房地(土地+建物),790,Biz,4房2廳3衛有隔間,B22
其他,,福東一路31~60號,透天厝,,B,,10910,無,,全/二層,-1,31,5,1,1,0,24.337841867075355,120.59074471783465,無,"121,765",bt_02.png,10,36.96,uNrh0VL0hqcw36glXW3KHbfBzSewkXJDY2E8j6ItdLw=,房地(土地+建物),450,Biz,4房2廳3衛有隔間,B22
特定農業區,甲種建築用地,東西九路241~270號,透天厝,,B,,10910,無,,全/一層,-1,19,6,2,2,0,24.373642812868688,120.58643627661638,無,"328,995",bt_02.png,26,107.45,mxbOUemt3ZfyUiB9PI5LGLfBzSewkXJDY2E8j6ItdLw=,房地(土地+建物),"3,535",Biz,4房0廳3衛有隔間,B22
其他,,中松路56巷31~60號,透天厝,,B,,10909,無,,全/二層,-1,38,7,1,1,0,24.34649839990128,120.588228455722,無,"44,777",bt_02.png,10,31.26,7bSkkL4eOHHz2O/SEW1SJrfBzSewkXJDY2E8j6ItdLw=,房地(土地+建物),139,Biz,4房2廳2衛有隔間,B22
特定農業區,農牧用地,南北八路391~420號,透天厝,,B,,10907,無,,全/一層,-1,25,8,1,1,0,24.389311295409104,120.5992255556373,無,"48,483",bt_02.png,26,37.13,yy/iIt9o71rgWPUzEUZbH7fBzSewkXJDY2E8j6ItdLw=,房地(土地+建物),180,Biz,2房2廳2衛有隔間,B22
鄉村區,乙種建築用地,松雅里大安港路571~600號,透天厝,,B,,10906,無,,全/三層,-1,39,9,2,1,0,24.36124349894303,120.60316568252745,無,"102,945",bt_02.png,11,55.37,vy3IZQVbHIrPzlMVqgyJX7fBzSewkXJDY2E8j6ItdLw=,房地(土地+建物),570,Biz,5房2廳3衛有隔間,B22
商,,中庄里中山南路301~330號,透天厝,,B,,10905,無,,全/二層,0,47,10,2,1,0,24.345693178713482,120.58663156782788,無,"209,071",bt_02.png,9,32.52,9b3oUe6PzCAKW45+F2+wk7fBzSewkXJDY2E8j6ItdLw=,房地(土地+建物),680,Biz,2房1廳2衛有隔間,B22
住,,中山南路257巷1~30號,透天厝,,B,,10903,無,,全/二層,0,39,11,1,1,0,24.344233178772154,120.58762181163543,無,"97,342",bt_02.png,9,30.82,300J1OIByJjT4pniKo9kJ7fBzSewkXJDY2E8j6ItdLw=,房地(土地+建物),300,Biz,5房3廳3衛有隔間,B22
特定農業區,甲種建築用地,興安路31~60號,透天厝,,B,,10902,有,,全/四層,1,,12,1,1,0,24.34760340506958,120.60741563959625,無,"188,053",bt_02.png,16,86.15,fcYlx9EUwGx9dCGgKxIQv7fBzSewkXJDY2E8j6ItdLw=,房地(土地+建物),"1,620",Biz,5房2廳5衛有隔間,B22
鄉村區,乙種建築用地,南北八路50巷1~30號,透天厝,,B,,10902,無,,全/一層,0,53,13,1,1,0,24.370670870580486,120.59680821145331,無,"220,886",bt_02.png,24,23.99,+fnpo1Dm7fLGVYa2xepH+rfBzSewkXJDY2E8j6ItdLw=,房地(土地+建物),530,Biz,2房1廳1衛有隔間,B22
住,,中松路1~30號,透天厝,,B,,10902,無,,全/三層,0,24,14,1,1,0,24.346447630104972,120.58715735804253,無,"129,772",bt_02.png,10,62.26,Q+weOZv+zBzvrl3OhQmaQLfBzSewkXJDY2E8j6ItdLw=,房地(土地+建物),808,Biz,4房2廳3衛有隔間,B22
特定農業區,甲種建築用地,東西四路一段80巷1~30號,透天厝,,B,,10901,無,,全/三層,0,20,15,2,1,0,24.37990628094972,120.61901324731214,無,"70,823",bt_02.png,22,56.48,d6e2Umo6LEcyr9jX6U56SLfBzSewkXJDY2E8j6ItdLw=,房地(土地+建物),400,Biz,4房2廳3衛有隔間,B22
商,,中山南路301~330號,透天厝,,B,,10812,無,,全/二層,0,47,16,2,1,0,24.345693178713482,120.58663156782788,無,"264,413",bt_02.png,9,32.52,wqe1n97iWbDzgz5F6lRWhLfBzSewkXJDY2E8j6ItdLw=,房地(土地+建物),860,Biz,2房1廳2衛有隔間,B22
商,,中山南路331~360號,透天厝,,B,,10812,無,,全/一層,0,62,17,1,1,0,24.34590695024999,120.5868811952216,無,"680,056",bt_02.png,10,13.97,uDjkeaTw/86s/fhpERrPVLfBzSewkXJDY2E8j6ItdLw=,房地(土地+建物),950,Biz,2房1廳1衛有隔間,B22
住,,中山南路361~390號,透天厝,,B,,10812,無,,全/二層,0,38,18,2,1,0,24.346626673209062,120.58625896624899,無,"205,375",bt_02.png,12,40.41,HCcVaL/0VqedPHfiKW6iHbfBzSewkXJDY2E8j6ItdLw=,房地(土地+建物),830,Biz,2房1廳2衛有隔間,B22
特定農業區,甲種建築用地,東西四路二段181~210號,透天厝,,B,,10812,無,,全/三層,0,24,19,2,1,0,24.38165709185679,120.60894548358588,無,"21,319",bt_02.png,20,49.25,mNJg9gnjV3WGKRmw3Ix5mLfBzSewkXJDY2E8j6ItdLw=,房地(土地+建物),105,Biz,5房2廳3衛有隔間,B22
鄉村區,乙種建築用地,松十街31~60號,透天厝,,B,,10812,無,,全/四層,1,,20,1,1,0,24.3622611741458,120.60552776156644,無,"192,340",bt_02.png,10,56.15,lJuvhudBWjGZRtTNEFJO07fBzSewkXJDY2E8j6ItdLw=,房地(土地+建物),"1,080",Biz,4房2廳3衛有隔間,B22
