AA11,AA12,a,b,bs,city,cp,e,el,es,f,fi,g,id,j,k,l,lat,lon,m,p,pimg,r,s,sq,t,tp,type,v,district_code
其他,,竹師路一段260巷19弄31~60號,華廈(10層含以下有電梯),61.94%,B,,11011,有,,四層/八層,,26,0,2,1,1,24.183439405485352,120.54911714440965,有,"94,823",bt_06.png,53,36.91,wyz+oVcbKd26HN5+vW61F0exFkUceaPO4pTC+rGq4OM=,房地(土地+建物)+車位,350,Biz,3房2廳2衛有隔間,B25
其他,,竹師路二段91巷1~30號,透天厝,,B,,11003,無,,全/三層,,25,1,1,1,0,24.189516615501535,120.54961845176005,無,"153,339",bt_02.png,9,42.39,uOT8mQ7jtmmZUEGul93m/kexFkUceaPO4pTC+rGq4OM=,房地(土地+建物),650,Biz,4房2廳3衛有隔間,B25
一般農業區,丙種建築用地,新庄街一段96巷96弄61~90號,華廈(10層含以下有電梯),69.24%,B,,11003,有,,七層/八層,,28,2,2,1,1,24.18539994392967,120.57971688205471,有,"134,264",bt_06.png,55,38.58,JGcwma4yVnVVO26wIj3JIkexFkUceaPO4pTC+rGq4OM=,房地(土地+建物)+車位,518,Biz,3房2廳2衛有隔間,B25
其他,,藝術街39巷1~30號,公寓(5樓含以下無電梯),62.30%,B,,11003,無,,四層/五層,,31,3,1,1,0,24.187406503236236,120.59431873257176,無,"147,392",bt_01.png,22,7.60,rP4+5W4r87/Y4Jd+7k0plUexFkUceaPO4pTC+rGq4OM=,房地(土地+建物),112,Biz,1房0廳1衛有隔間,B25
其他,,藝術街39巷1~30號,公寓(5樓含以下無電梯),100.00%,B,,11003,無,,"四層,電梯樓梯間/四層",,,4,1,1,0,24.187292318565458,120.59422676677441,無,"249,441",bt_01.png,12,22.05,Rb5cVBugSZ7NRcn4kbkVsEexFkUceaPO4pTC+rGq4OM=,房地(土地+建物),550,Biz,4房2廳2衛有隔間,B25
其他,,遠東街209巷1~30號,透天厝,,B,,11003,無,,全/二層,,41,5,1,1,0,24.18899175421076,120.59727944068179,無,"74,575",bt_02.png,10,31.91,zoItfX0071aeDMc1IehvyEexFkUceaPO4pTC+rGq4OM=,房地(土地+建物),238,Biz,4房2廳2衛有隔間,B25
其他,,龍山街123巷31~60號,華廈(10層含以下有電梯),,B,,11003,有,,八層/十層,,26,6,1,1,0,24.2122687763683,120.54993476554768,有,"119,663",bt_06.png,63,38.86,D5Ub4IxXmt+i2WDpX6C1HEexFkUceaPO4pTC+rGq4OM=,房地(土地+建物),465,Biz,4房2廳1衛有隔間,B25
鄉村區,乙種建築用地,新仁路22巷31~60號,華廈(10層含以下有電梯),,B,,11002,有,,一層/八層,,2,7,1,1,1,24.184326913446863,120.57860324922427,有,"189,349",bt_06.png,65,39.61,nH1xYkFz+Q616bTSe8pyVUexFkUceaPO4pTC+rGq4OM=,房地(土地+建物)+車位,750,Biz,2房2廳1衛有隔間,B25
,,竹師路二段61~90號,透天厝,,B,,11002,無,,全/三層,,1,8,2,1,0,24.189469365208677,120.54978880457689,有,"185,643",bt_02.png,11,51.98,NKPS3La46zC0vAfY2ggvfUexFkUceaPO4pTC+rGq4OM=,房地(土地+建物),965,Biz,4房2廳3衛有隔間,B25
鄉村區,乙種建築用地,新庄街二段120巷1~30號,透天厝,,B,,11002,無,,全/五層,,16,9,2,1,0,24.180502746472293,120.57768323942395,無,"185,630",bt_02.png,25,63.57,kJ8f/hCewursqOxvAylSlkexFkUceaPO4pTC+rGq4OM=,房地(土地+建物),"1,180",Biz,4房3廳4衛有隔間,B25
